#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 0.000701058 2.01155e-05 0.000721724 -4.13326e-05 4.13326e-05 0 -4.13326e-05 4.13326e-05 0 -4.13326e-05 4.13326e-05 0 8.625 8.875 49735 1347 62 190 276
9 -5.89128e-05 5.89128e-05 4.41846e-05 -5.89128e-05 5.89128e-05 5.8911e-05 -5.89128e-05 5.89128e-05 0.000117833 -5.89128e-05 5.89128e-05 0.000132551 8.875 9.125 72212 4315 259 729 888
9.25 -1.15041e-05 6.81417e-05 8.45508e-06 -0.000163705 0.000163705 -4.39396e-05 -0.000163705 0.000159714 -6.39077e-05 2.69161e-05 0.000321171 5.48592e-05 9.125 9.375 276731 26281 1709 4369 5246
9.5 0.000266255 0.00061267 0.000238374 0.00026429 0.000913134 0.000294868 -1.70246e-05 0.000504051 2.19296e-05 0.000541885 0.00115879 0.000554394 9.375 9.625 775168 57948 5164 8109 9504
9.75 0.00100904 0.00218681 0.00100096 1.00369e-05 0.00349416 -5.61038e-05 0.000627293 0.0039658 0.00057581 0.00331088 0.00367817 0.0032645 9.625 9.875 1.86328e+06 155448 14050 17280 19249
10 0.00961618 0.00602841 0.00834329 0.00764337 0.00774216 0.00643198 0.0095049 0.00733321 0.0083716 0.0146376 0.00787855 0.0127837 9.875 10.125 2.8486e+06 384435 39118 43448 44901
10.25 0.0230971 0.00993312 0.0180185 0.0197826 0.0120729 0.0150575 0.0261354 0.0120532 0.0198695 0.0340741 0.0119501 0.0270485 10.125 10.375 2.20745e+06 398005 43103 46849 46756
