#Observed stellar masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) Median_FQ_infall(Sats) Err+ Err- Median_FQ_infall(Sats_MW) Err+ Err- Median_FQ_infall(Sats_Group) Err+ Err- Median_FQ_infall(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.00257956 0.00322498 0.00169829 0.00245642 0.00355012 0.00158141 0.00299191 0.00302182 0.00186359 0.00200393 0.00499205 0.00134561 7.2 7.4 576891 133160 23203 15191 4643
7.5 0.00510809 0.00598289 0.00325076 0.00490823 0.0057726 0.00328779 0.00469046 0.00587007 0.00276231 0.00594045 0.00703107 0.00311007 7.4 7.6 467631 116496 21663 13845 4169
7.7 0.00881935 0.00823477 0.00550105 0.00907404 0.0092873 0.00559413 0.00814376 0.00825591 0.00543268 0.0112442 0.00910028 0.00694403 7.6 7.8 387519 109845 21277 12861 4184
7.9 0.0128332 0.0106571 0.00746589 0.0128687 0.0109355 0.00704461 0.0132343 0.010688 0.00833762 0.0183806 0.0132371 0.011152 7.8 8 325757 104522 21367 12422 4041
8.1 0.0176903 0.0126599 0.00964954 0.0180687 0.0142059 0.00950368 0.0191774 0.012325 0.0108221 0.0188476 0.0169007 0.0101652 8 8.2 268017 91774 20202 11244 3803
8.3 0.0262995 0.0142219 0.0128353 0.0281026 0.0163031 0.013694 0.027292 0.0160886 0.0143714 0.030929 0.0229953 0.0169574 8.2 8.4 216933 74643 17696 9859 3253
8.5 0.0387776 0.0188791 0.0168037 0.0434329 0.017641 0.0187018 0.04189 0.0214538 0.0190661 0.0440784 0.0276546 0.0184238 8.4 8.6 172465 58843 15459 8066 2740
8.7 0.0532515 0.0229115 0.019238 0.0533514 0.0227231 0.0200486 0.0554023 0.0250852 0.0198007 0.0553786 0.0332392 0.0211892 8.6 8.8 136513 45395 12862 6814 2203
8.9 0.0732069 0.0239613 0.0238236 0.0702318 0.0224971 0.0213097 0.0834535 0.0241879 0.0284081 0.0806005 0.0421015 0.0252853 8.8 9 107840 35917 10841 5934 1876
9.1 0.0914899 0.0244657 0.0231185 0.0792658 0.0206511 0.0228697 0.0982252 0.025978 0.0225477 0.122596 0.0321217 0.0258003 9 9.2 85337 28060 8636 4793 1538
9.3 0.109442 0.0291297 0.0231852 0.0832981 0.0219307 0.0215862 0.124131 0.032962 0.0244072 0.126444 0.0331005 0.0281077 9.2 9.4 67398 21455 6354 4092 1299
9.5 0.135563 0.0291855 0.0302268 0.0893065 0.028223 0.0250633 0.150325 0.0337041 0.0319093 0.181283 0.0431091 0.0308198 9.4 9.6 55125 17151 4384 3562 1091
9.7 0.159058 0.0267359 0.0324347 0.0864392 0.0266115 0.0260024 0.190303 0.0281987 0.0374029 0.207832 0.0435917 0.0371071 9.6 9.8 46393 14016 2976 3177 996
