#Observed stellar masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) Median_FQ_infall(Sats) Err+ Err- Median_FQ_infall(Sats_MW) Err+ Err- Median_FQ_infall(Sats_Group) Err+ Err- Median_FQ_infall(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 -3.23511e-05 0.000203239 6.85126e-05 -3.01308e-05 0.000247713 8.85097e-05 -3.0347e-05 0.000917653 0.000115056 -0.000149076 9.5741e-05 0.000373368 7.2 7.4 623266 131619 18402 1775 0
7.5 -5.84566e-05 0.000314898 7.81391e-05 4.33565e-05 0.000502027 0.000129542 -1.44789e-06 0.00101311 0.000201736 -0.000221137 0.000124316 0.000548961 7.4 7.6 497866 118489 18720 1788 0
7.7 -4.46923e-05 0.000450855 9.8631e-05 2.66951e-05 0.000757455 0.000106939 -0.000127462 0.000805862 0.000215705 -0.000307639 0.000180177 0.000596513 7.6 7.8 386688 101172 18188 1846 0
7.9 -9.93206e-05 0.000638431 0.000110532 -3.67294e-05 0.00099355 0.00013798 -0.000175662 0.00105574 0.000272929 -0.000373729 0.000203586 0.000573631 7.8 8 293465 80173 16548 1722 0
8.1 -6.38177e-05 0.00143045 0.000126902 -9.03225e-05 0.00250239 0.000129302 -0.000185346 0.00310447 0.000274856 -0.000349114 0.000189786 0.000595455 8 8.2 216722 60059 14479 1493 0
8.3 4.78549e-05 0.00232027 0.000123064 8.71919e-05 0.00427265 0.000185968 -9.67569e-05 0.00550198 0.000207713 -0.000265437 0.000158992 0.000671956 8.2 8.4 157926 42611 12068 1302 0
8.5 0.00026831 0.00454349 0.000274246 0.000401376 0.00616509 0.000379488 0.000720754 0.0079057 0.000847608 -0.000201398 0.000157328 0.00151908 8.4 8.6 114360 29691 10010 1042 0
8.7 0.000574868 0.00733868 0.000509218 0.000640735 0.00957515 0.000640735 0.00137212 0.0130275 0.00143389 -0.000165876 0.000130174 0.00300753 8.6 8.8 82833 20348 7906 808 0
8.9 0.00093746 0.0117468 0.000820692 0.000693648 0.0120337 0.000736 0.00327965 0.0266445 0.00336454 -0.000494292 0.000451508 0.00603676 8.8 9 59130 13948 6075 689 0
9.1 0.00232491 0.0183558 0.00226148 0.000692909 0.0179917 0.000721998 0.0073315 0.0405456 0.00743562 -0.000849901 0.000791202 0.0108673 9 9.2 42165 9375 4463 560 0
9.3 0.00493155 0.0258001 0.00467874 0.00122251 0.0148545 0.00122251 0.0100606 0.0643993 0.0100989 -0.00232348 0.00227949 0.0204409 9.2 9.4 29770 5860 2772 463 0
9.5 0.00898172 0.0407792 0.00835468 0.0010208 0.0235705 0.00154427 0.0304969 0.076075 0.027286 -0.00504369 0.00485111 0.0295795 9.4 9.6 21127 3965 1777 412 0
9.7 0.01407 0.0489977 0.0140399 -0.000429923 0.019179 0.00420645 0.0410882 0.0811961 0.0390306 -0.0134198 0.0121614 0.0402356 9.6 9.8 14704 2552 955 335 0
9.9 0.0208087 0.0558529 0.020941 -0.00183866 0.0205834 0.00998645 0.0783978 0.0943983 0.0678114 -0.0254468 0.0216047 0.0553303 9.8 10 10266 1645 490 276 0
10.1 0.0340096 0.0507524 0.0348781 -0.0141022 0.0181455 0.0234423 0.0767126 0.097278 0.0641369 -0.0479414 0.0340377 0.064654 10 10.2 7033 1050 232 196 0
10.3 0.054505 0.0524919 0.0558135 -0.0393211 0.0297227 0.0459517 0.164657 0.0739644 0.135379 -0.0821789 0.052299 0.0750975 10.2 10.4 4956 673 76 209 0
10.5 0.0698253 0.0434793 0.0582461 -0.108749 0.050821 0.0573795 0.169037 0.0468486 0.0883277 -0.128501 0.0653169 0.0792451 10.4 10.6 3253 400 31 146 0
10.7 0.0463173 0.0475027 0.0477366 -0.100986 0.133607 0.0752418 0.11902 0.0878161 0.0808506 -0.17077 0.0704499 0.0833708 10.6 10.8 2183 235 10 101 0
10.9 0.0681476 0.0594796 0.0672488 0.0997217 0.136004 0.3473 0.140675 0.0796994 0.0785426 -0.228751 0.07053 0.0772188 10.8 11 1231 116 2 58 0
