#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 0 0 0 0 0 0 0 0 0 0 0 0 8.625 8.875 216994 2763 27 1 0
9 0 0 2.90967e-06 0 0 2.90968e-06 0 0 2.90967e-06 0 0 2.90968e-06 8.875 9.125 347327 3651 188 19 0
9.25 0 0 1.71002e-06 0 0 1.71002e-06 0 0 1.71003e-06 0 0 2.56533e-06 9.125 9.375 1.1901e+06 20775 2087 257 0
9.5 1.09202e-05 5.39514e-05 6.59592e-06 -3.16012e-07 8.70482e-05 1.57865e-06 -3.16012e-07 3.16012e-07 4.73601e-06 -3.16012e-07 2.28226e-10 1.29443e-05 9.375 9.625 3.34243e+06 177996 18675 1831 0
9.75 -2.63213e-07 6.18419e-05 1.48727e-06 -2.66348e-06 0.000228147 4.81244e-07 0.000323601 -2.02851e-06 0.000324085 -2.66348e-06 1.87606e-09 2.65849e-05 9.625 9.875 4.54655e+06 416620 39261 3065 0
10 -2.70741e-06 6.53738e-05 -2.09587e-07 -2.70741e-06 0.000177611 -1.2748e-05 -2.70741e-06 2.70741e-06 6.75618e-06 -2.70741e-06 4.19823e-09 2.33049e-05 9.875 10.125 3.38975e+06 434894 43560 3213 0
10.25 0 7.76599e-05 6.11904e-07 0 0.000209005 1.83649e-06 0 0.00055065 1.8372e-06 0 0 1.04032e-05 10.125 10.375 1.99112e+06 358889 41812 3255 0
10.5 1.19363e-05 0.000339318 1.19363e-05 0 0.000546186 0 0 0.000691346 0 0 0 9.21942e-06 10.375 10.625 1.11854e+06 251334 34397 2691 0
10.75 0.000174387 0.00136916 0.000174387 0.000162929 0.00190129 0.000162929 0.00110965 0.00374815 0.00110965 -6.41857e-06 6.41857e-06 8.76894e-05 10.625 10.875 583541 116147 23620 1792 0
11 0.00100338 0.00394672 0.00100338 0.00158784 0.00515987 0.00158784 0.0035643 0.00582458 0.0035643 -6.54683e-05 6.54683e-05 0.000282299 10.875 11.125 296786 52393 15726 1102 0
11.25 0.00485589 0.0118874 0.00485589 0.00619698 0.012477 0.00619698 0.0128233 0.0292486 0.0128233 -0.000653755 0.000653755 0.00117667 11.125 11.375 144150 21780 9634 742 0
11.5 0.0178616 0.0268629 0.0178616 0.0133924 0.0242156 0.0133924 0.0437158 0.0382853 0.0437158 -0.00343549 0.00343549 0.0051871 11.375 11.625 67109 8311 4754 509 0
11.75 0.0470661 0.0443697 0.0470661 0.0215335 0.0200633 0.0215335 0.0929507 0.0926951 0.0929507 -0.0163741 0.0163741 0.0168903 11.625 11.875 30113 3058 1319 311 0
12 0.0871175 0.0506657 0.0845359 -0.0169343 0.0294616 -0.0104267 0.196422 0.0943692 0.183634 -0.0600997 0.0600122 0.0400665 11.875 12.125 12545 1114 139 230 0
12.25 0.112067 0.0368533 0.0911957 0.241298 0.0639698 0.243076 0.147083 0.0659806 0.109539 -0.158702 0.15559 0.0686819 12.125 12.375 4824 325 5 121 0
12.5 0.14733 0.0381571 0.0267051 0.674802 0.251319 0.0883905 0.204214 0.0325935 0.0556418 -0.325198 0.253298 0.0864116 12.375 12.625 1607 91 1 68 0
12.75 0.00795418 0.0415208 0.0536112 -0.563474 0.218263 0.233853 0.0519102 0.0291246 0.0647593 -0.563474 0.218263 0.233853 12.625 12.875 463 14 0 13 0
13 -0.256522 0.0173913 0.3 -0.756522 0.13913 0.208696 -0.756522 0.13913 0.208696 -0.756522 0.13913 0.208696 12.875 13.125 117 2 0 1 0
13.25 0.142857 0.0952381 0.142857 -0.857143 0.0952381 0.142857 0.142857 0.0952381 0.142857 -0.857143 0.0952381 0.142857 13.125 13.375 22 1 0 1 0
13.5 -1 0 0 -1 0 0 -1 0 0 -1 0 0 13.375 13.625 1 0 0 0 0
13.75 0 0 0 0 0 0 0 0 0 0 0 0 13.625 13.875 0 0 0 0 0
14 0 0 0 0 0 0 0 0 0 0 0 0 13.875 14.125 0 0 0 0 0
14.25 0 0 0 0 0 0 0 0 0 0 0 0 14.125 14.375 0 0 0 0 0
14.5 0 0 0 0 0 0 0 0 0 0 0 0 14.375 14.625 0 0 0 0 0
14.75 0 0 0 0 0 0 0 0 0 0 0 0 14.625 14.875 0 0 0 0 0
15 0 0 0 0 0 0 0 0 0 0 0 0 14.875 15.125 0 0 0 0 0
15.25 0 0 0 0 0 0 0 0 0 0 0 0 15.125 15.375 0 0 0 0 0
15.5 0 0 0 0 0 0 0 0 0 0 0 0 15.375 15.625 0 0 0 0 0
15.75 0 0 0 0 0 0 0 0 0 0 0 0 15.625 15.875 0 0 0 0 0
