#Observed stellar masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) Median_FQ_infall(Sats) Err+ Err- Median_FQ_infall(Sats_MW) Err+ Err- Median_FQ_infall(Sats_Group) Err+ Err- Median_FQ_infall(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.00292669 0.0033188 0.00174022 0.00342147 0.00366945 0.00221812 0.00233717 0.002916 0.00140475 0.00292038 0.00380209 0.00168336 7.2 7.4 578014 134122 22869 15483 5236
7.5 0.00576518 0.00628493 0.00352379 0.00619127 0.0067136 0.00381251 0.00432768 0.00560067 0.00252599 0.00493021 0.00837789 0.00341534 7.4 7.6 467699 115167 21004 13637 4525
7.7 0.00947783 0.00907479 0.0056993 0.00944072 0.0098655 0.00595533 0.00843422 0.00838431 0.00506883 0.0105781 0.0102622 0.00721805 7.6 7.8 387296 108048 20671 13006 4480
7.9 0.0131694 0.0105966 0.00723532 0.0139204 0.0114778 0.00759202 0.0123654 0.0117053 0.00633852 0.0163647 0.013865 0.00973212 7.8 8 327151 104369 21106 12582 4478
8.1 0.0188989 0.0115114 0.00951691 0.0205512 0.0131018 0.00980044 0.0201048 0.0125742 0.010232 0.021569 0.0184104 0.0102323 8 8.2 270207 92242 19814 11337 4188
8.3 0.0285283 0.0144898 0.0131959 0.0298565 0.0157927 0.0134567 0.0303312 0.0157501 0.0148535 0.0304936 0.0234804 0.0155524 8.2 8.4 217124 74542 17346 9840 3448
8.5 0.0403724 0.0189615 0.016048 0.0443673 0.0186564 0.0176573 0.0432907 0.0193174 0.016115 0.0533368 0.0239254 0.0201584 8.4 8.6 174047 59386 15321 8357 2950
8.7 0.0544185 0.0241309 0.0178694 0.0572554 0.0233575 0.020321 0.0548621 0.0265122 0.0190943 0.0625811 0.0316186 0.0199943 8.6 8.8 138073 46807 13173 6984 2435
8.9 0.0735897 0.0245796 0.0226804 0.0671775 0.0203417 0.0212095 0.0807979 0.0273104 0.0248521 0.0846191 0.0362873 0.025988 8.8 9 109035 36198 10667 5884 2055
9.1 0.0927284 0.02518 0.0225363 0.0787931 0.0214673 0.022024 0.100793 0.0232963 0.0237269 0.118129 0.0469582 0.0314282 9 9.2 86146 28189 8518 4898 1683
