#Peak halo masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(Centrals) Err+ Err- FQ(Sats) Err+ Err- FQ(Sats_MW) Err+ Err- FQ(Sats_Group) Err+ Err- FQ(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Cen_Halo_Counts Bestfit_Sat_Halo_Counts Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0 0
8.75 0 3.17254e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 8.625 8.875 64860 63041 1819 261 226 33
9.00 9.1416e-06 9.1416e-06 0 0 0 0 0 0 0 0 0 0 0 0 0 8.875 9.125 114319 109390 4929 882 865 120
9.25 4.30091e-06 1.29015e-05 4.89763e-10 2.60457e-05 5.19736e-05 4.2668e-08 0 0.000145075 0 0.000145836 0 2.12371e-07 0 0 0 9.125 9.375 503412 465018 38394 6883 6857 981
9.50 8.14067e-05 0.000581402 9.82262e-06 0.000219159 0.00155878 7.57696e-06 0.000186759 0.00154919 4.19376e-06 0.000235756 0.0021484 3.8992e-06 0.000828043 0.00191394 0.000278592 9.375 9.625 1.84226e+06 1.64606e+06 196205 32127 25450 3623
9.75 0.000475048 0.00273145 2.63424e-05 0.000710897 0.00493969 2.13302e-06 0.00103631 0.0063286 6.05989e-05 0.00118497 0.00726906 6.10671e-05 0.000973394 0.00892918 1.10414e-06 9.625 9.875 3.9706e+06 3.47123e+06 499369 71407 44727 6164
10.00 0.000277661 0.00176598 -8.54663e-07 0.000373244 0.00295218 -2.66242e-05 0.000455035 0.00367908 1.73619e-06 0.000287569 0.00471426 -0.000126428 0.000730353 0.00474594 4.55871e-06 9.875 10.125 4.05593e+06 3.47186e+06 584069 83510 48684 6846
10.25 7.04516e-05 0.00050884 -3.68942e-07 0.000329295 0.00133282 0.000118577 0.000449165 0.00199203 0.000133533 0.000666016 0.00189526 0.000252811 0.000336022 0.00258085 0.000168881 10.125 10.375 2.70724e+06 2.20009e+06 507144 75696 42041 5952
10.50 8.30421e-05 0.000217655 6.10074e-05 0.00160462 0.00363612 0.00123433 0.00195666 0.00438231 0.00151785 0.00252291 0.00528784 0.00170307 0.00519896 0.00518232 0.00438147 10.375 10.625 1.66888e+06 1.26442e+06 404457 68484 34484 5001
10.75 0.00041841 0.000510692 0.000385752 0.00558161 0.00829396 0.00418726 0.00631782 0.00913944 0.00470539 0.00854093 0.0114327 0.00586958 0.0176282 0.00996505 0.0144007 10.625 10.875 1.01412e+06 733730 280385 56032 25290 3744
11.00 0.00198279 0.00147881 0.00174498 0.0187202 0.0179596 0.0112284 0.0186197 0.0196516 0.0112005 0.028123 0.0238089 0.0157983 0.0369468 0.0261561 0.0201984 10.875 11.125 578796 424150 154646 40065 16819 2463
11.25 0.00814789 0.00368626 0.00624537 0.0549739 0.0320494 0.0244156 0.0477231 0.0315797 0.0223813 0.0710392 0.0387056 0.0313449 0.0968367 0.041873 0.0453427 11.125 11.375 324273 244235 80038 27010 11191 1549
11.50 0.0294235 0.0068664 0.0188796 0.131621 0.0484169 0.0410394 0.103266 0.0385234 0.0375037 0.156569 0.0515591 0.0478449 0.195122 0.0517916 0.0573349 11.375 11.625 181580 140500 41080 14787 7345 902
11.75 0.0826565 0.0093949 0.0379292 0.259363 0.0423619 0.0492372 0.178686 0.040229 0.0428276 0.289639 0.0458793 0.0440082 0.322222 0.0379064 0.0525593 11.625 11.875 100504 79171 21333 4382 5241 630
12.00 0.187271 0.000342488 0.0546625 0.42715 0.0437949 0.0408523 0.351129 0.0333504 0.0243087 0.458288 0.0517101 0.040203 0.502451 0.0356326 0.047451 11.875 12.125 54734 43979 10755 487 3644 408
12.25 0.354946 -0.000500679 0.0596236 0.630181 0.032031 0.0229904 0.636364 0.0636364 0.0187166 0.644672 0.0434731 0.016487 0.724 0.0382951 0.0137959 12.125 12.375 28937 23967 4970 33 2243 250
12.50 0.556136 0.0217736 0.0534048 0.758722 0.0301712 0.0150772 0.5 0.214286 -0.1 0.736762 0.0345443 0.0171223 0.859649 0.0167554 0.0242833 12.375 12.625 15009 12630 2379 4 1322 171
12.75 0.739732 0.0438706 0.0558494 0.879167 0.0251103 0.0215909 1 0 0 0.815217 0.0309365 0.0271037 0.884615 0.0377147 0.00961536 12.625 12.875 7388 6428 960 2 368 104
13.00 0.863844 0.0475571 0.0374593 0.913649 0.0224621 0.00731295 0 0 0 0.816327 0.0236734 0 0.929577 0.0559298 0.00204122 12.875 13.125 3429 3070 359 0 49 71
13.25 0.9243 0.0264951 0.0234671 0.978102 0.0145985 0.0218979 0 0 0 1 0 0 1 0 0 13.125 13.375 1458 1321 137 0 2 48
