#Peak halo masses in Msun
#Fractions of *quenched satellites* that were quenched after infall
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0
8.75 0 0 0 0 0 0 0 0 0 8.625 8.875 221861 34 3 0
9.00 0 0 0 0 0 0 0 0 0 8.875 9.125 355697 150 12 0
9.25 0 0 0 0 0 0 0 0 0 9.125 9.375 1.21494e+06 1952 191 0
9.50 0 0.577789 0 0 0 0 0 0 0 9.375 9.625 3.3663e+06 17137 1399 0
9.75 1 0 1 0 0.490586 0 0 0 0 9.625 9.875 4.4693e+06 35769 2322 0
10.00 0 1 0 1 0 1 0 0 0 9.875 10.125 3.32686e+06 39898 2572 0
10.25 1 -0.0839416 1 0 0.535519 0 0 0 0 10.125 10.375 1.93585e+06 38718 2604 0
10.50 0 0.731611 0 0 0.728653 0 0 0 0 10.375 10.625 1.07564e+06 31728 2101 0
10.75 0.75 0.195455 0.75 1 0 1 0 0 0 10.625 10.875 557039 21668 1409 0
11.00 0.952381 0.047619 0.952381 1 -0.111111 1 0 0 0 10.875 11.125 280733 14276 878 0
11.25 0.930233 0.00310075 0.930233 1 0 1 0 0 0 11.125 11.375 135113 8767 558 0
11.50 0.920635 0.031746 0.920635 0.888889 0.111111 0.888889 0 0 0 11.375 11.625 62239 4358 404 0
11.75 0.944444 0.0555556 0.944444 0.92 0.08 0.92 0 0 0 11.625 11.875 27337 1208 254 0
12.00 0.666667 0.333333 0.666667 0.913043 0.0869565 0.163043 0 0 0 11.875 12.125 11284 122 179 0
12.25 1 0 1 0.695652 0.304348 0.150198 0 0 0 12.125 12.375 4238 6 88 0
12.50 0 0 0 0.766667 0.15641 0.146667 0 0 0 12.375 12.625 1351 0 51 0
12.75 0 0 0 0.833333 0.166667 0.166667 0 0 0 12.625 12.875 385 0 10 0
13.00 0 0 0 0 0 0 0 0 0 12.875 13.125 92 0 0 0
13.25 0 0 0 1 0 1 0 0 0 13.125 13.375 17 0 1 0
13.50 0 0 0 0 0 0 0 0 0 13.375 13.625 0 0 0 0
13.75 0 0 0 0 0 0 0 0 0 13.625 13.875 0 0 0 0
14.00 0 0 0 0 0 0 0 0 0 13.875 14.125 0 0 0 0
14.25 0 0 0 0 0 0 0 0 0 14.125 14.375 0 0 0 0
14.50 0 0 0 0 0 0 0 0 0 14.375 14.625 0 0 0 0
14.75 0 0 0 0 0 0 0 0 0 14.625 14.875 0 0 0 0
15.00 0 0 0 0 0 0 0 0 0 14.875 15.125 0 0 0 0
15.25 0 0 0 0 0 0 0 0 0 15.125 15.375 0 0 0 0
15.50 0 0 0 0 0 0 0 0 0 15.375 15.625 0 0 0 0
15.75 0 0 0 0 0 0 0 0 0 15.625 15.875 0 0 0 0
