#Peak halo masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(Centrals) Err+ Err- FQ(Sats) Err+ Err- FQ(Sats_MW) Err+ Err- FQ(Sats_Group) Err+ Err- FQ(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Cen_Halo_Counts Bestfit_Sat_Halo_Counts Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0 0
8.75 4.11963e-05 4.11963e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 8.625 8.875 26075 24274 1801 142 301 351
9.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.875 9.125 46398 40777 5621 413 1031 1143
9.25 2.71421e-05 1.08605e-05 5.43065e-06 6.12314e-05 3.03381e-05 6.12314e-05 0 0 0 0.000159795 -3.31274e-07 0.000159795 0 0.000162443 0 9.125 9.375 216879 184216 32663 2591 6258 6154
9.50 7.87845e-05 4.43966e-05 4.44477e-05 0.000276233 0.000188775 0.000170571 0.000119546 0.000117449 0.000119546 0.000233845 0.000212086 0.000233845 0.000555511 0.000306287 0.000397309 9.375 9.625 781370 698107 83263 8365 12829 12601
9.75 0.00106872 0.000487709 0.00054364 0.00148415 0.000858455 0.00074795 0.00136907 0.00110251 0.000711221 0.00173882 0.000982995 0.000796816 0.00259078 0.000746001 0.00159355 9.625 9.875 2.12968e+06 1.89385e+06 235825 24104 27605 25475
10.00 0.0014699 0.000499046 0.000914989 0.00432108 0.00146838 0.0027734 0.004188 0.00205487 0.00248504 0.00479754 0.00167338 0.00303267 0.00628811 0.0010469 0.00432442 9.875 10.125 3.24653e+06 2.78183e+06 464699 52531 53986 47391
10.25 0.00231513 0.000450418 0.00165674 0.0107858 0.00275639 0.00585883 0.00975408 0.00378639 0.00469182 0.0124813 0.00360081 0.00631359 0.0167617 0.00155705 0.00992054 10.125 10.375 2.38698e+06 1.94158e+06 445402 53311 52799 45401
10.50 0.00478536 0.000226573 0.00334076 0.0263189 0.00605733 0.00927283 0.0242068 0.00964124 0.00695274 0.0312819 0.00817844 0.00964685 0.0404405 0.00384521 0.0181983 10.375 10.625 1.50695e+06 1.16313e+06 343822 43748 42165 35781
10.75 0.0104779 0.000560527 0.00661272 0.0623892 0.0125346 0.0149695 0.0553858 0.0213785 0.00980798 0.0686637 0.0153141 0.0153032 0.0899449 0.00630973 0.0323308 10.625 10.875 936315 694318 241997 35009 31414 26494
11.00 0.0227999 0.00100862 0.0127124 0.120788 0.0192205 0.0230202 0.106164 0.0339318 0.0135549 0.130063 0.0193279 0.0210047 0.158647 0.00515194 0.0418828 10.875 11.125 577755 413599 164156 27580 22320 18185
11.25 0.049945 0.00111445 0.0219817 0.202727 0.0234289 0.0235633 0.171938 0.0395717 0.0122273 0.210613 0.0215557 0.0232212 0.251878 0.00587383 0.041941 11.125 11.375 344119 247072 97047 20362 14605 11847
11.50 0.100725 -0.00249744 0.0335428 0.318728 0.0253079 0.0185455 0.262875 0.0365779 0.0139586 0.320784 0.0286601 0.0141667 0.377002 0.0113487 0.0426002 11.375 11.625 203648 148463 55185 12660 9642 7305
11.75 0.181885 -0.00478077 0.0406526 0.447766 0.029276 0.00652263 0.345399 0.0487148 -0.000341415 0.455245 0.0370764 0.00106296 0.504296 0.0130723 0.0268846 11.625 11.875 120306 88765 31541 4227 6368 4656
12.00 0.29611 -0.00182992 0.0438911 0.590889 0.026603 0.00206542 0.502193 0.064037 -0.0130908 0.588454 0.036132 -0.00287515 0.613224 0.0123124 0.0179296 11.875 12.125 70538 52494 18044 456 4573 2919
12.25 0.438946 0.005698 0.0370332 0.716189 0.0298025 0.00174773 0.777778 0.0457516 -0.0149052 0.705489 0.0393739 -0.00195307 0.744589 0.0229505 0.015298 12.125 12.375 41143 31161 9982 81 2988 1848
12.50 0.586048 0.0220665 0.0274695 0.818082 0.0304027 0.00165629 0.904762 0.0119048 0.0201465 0.799124 0.0394866 -0.00147396 0.821645 0.0268656 0.00937396 12.375 12.625 23738 18263 5475 21 1827 1155
12.75 0.717615 0.0293663 0.0215115 0.886348 0.0237572 0.00180763 1 0 0 0.849427 0.0268926 0.00245744 0.895713 0.0233964 0.00109905 12.625 12.875 13573 10599 2974 8 611 863
13.00 0.820513 0.034598 0.0150216 0.942648 0.00893706 0.00704187 1 0 0 0.943662 0.00505596 0.0112296 0.957643 0.0062356 0.00618643 12.875 13.125 7684 6045 1639 3 71 543
13.25 0.892657 0.0200531 0.0135653 0.956242 0.0100793 0.00181836 1 0 0 1 0 0 0.966321 0.010778 0.00259066 13.125 13.375 4168 3391 777 1 4 386
