#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 0 0 0 0 0 0 0 0 0 0 0 0 8.625 8.875 26848 1897 134 276 362
9 0 0 0 0 0 0 0 0 0 0 0 0 8.875 9.125 46642 5761 366 1041 1186
9.25 -3.81201e-05 4.21634e-05 -1.08925e-05 -3.81201e-05 2.17846e-05 -1.08924e-05 -3.81201e-05 2.17845e-05 -5.44698e-06 -3.81201e-05 2.17845e-05 -5.44644e-06 9.125 9.375 215526 31896 2408 5929 6084
9.5 0.000301125 7.90759e-05 0.000198108 2.27918e-05 0.000124502 8.52297e-05 0.000230194 0.000119463 0.000250511 0.000562966 0.000138492 0.000428933 9.375 9.625 765941 77753 7506 11743 11880
9.75 0.000543029 0.000410156 0.000483374 0.000284048 0.00100823 0.000222477 0.000826966 0.00105066 0.000617861 0.00196922 0.000445403 0.00169876 9.625 9.875 2.07001e+06 218906 21934 25250 24079
10 0.00351476 0.00109983 0.00251739 0.0030023 0.00191773 0.00179241 0.00382034 0.00151383 0.00259111 0.00680939 0.000793635 0.0051401 9.875 10.125 3.17297e+06 451329 49970 52119 47277
10.25 0.0100477 0.00243507 0.00524955 0.00892786 0.00320213 0.00410299 0.0123999 0.00363675 0.00597987 0.0176224 0.00128067 0.0103891 10.125 10.375 2.35657e+06 438210 51596 51783 45761
