#Observed stellar masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) Median_FQ(Centrals) Err+ Err- Median_FQ(Sats) Err+ Err- Median_FQ(Sats_MW) Err+ Err- Median_FQ(Sats_Group) Err+ Err- Median_FQ(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Central_Galaxy_Counts Bestfit_Sat_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.00341213 0.00356304 0.00147574 0.0135654 0.0101466 0.00559523 0.0131962 0.0107565 0.00518378 0.0144097 0.0114841 0.00614961 0.0158817 0.0133637 0.00603708 7.2 7.4 646611 506011 140600 17914 17226 15164
7.5 0.00439083 0.00430933 0.00183955 0.0180621 0.0118228 0.00630668 0.0185427 0.0112208 0.00658683 0.0189226 0.0127971 0.00642729 0.0206684 0.0139674 0.00759129 7.4 7.6 556272 429672 126600 16425 16219 14166
7.7 0.0059576 0.00501143 0.0022901 0.0255155 0.0151042 0.00769304 0.0267164 0.0185318 0.00862832 0.0252994 0.0152402 0.007563 0.0279034 0.0162756 0.00901057 7.6 7.8 470021 359609 110412 15339 14490 12564
7.9 0.00832432 0.00563478 0.00288956 0.0430412 0.0236186 0.0124468 0.0450247 0.0255119 0.0138884 0.0405305 0.0219652 0.0110627 0.0462549 0.0199708 0.0117754 7.8 8 386797 291670 95127 13653 12969 11470
8.1 0.0116317 0.00718676 0.00372929 0.0700394 0.0271487 0.0179068 0.066904 0.0320187 0.0179691 0.0670721 0.0260323 0.0166018 0.0708273 0.028302 0.0153987 8 8.2 320429 234843 85586 12796 11696 10518
8.3 0.0162126 0.00842951 0.00492329 0.0911448 0.0296884 0.0178716 0.0913644 0.0332562 0.0210181 0.0850687 0.0305088 0.0174807 0.0955544 0.0281534 0.0196515 8.2 8.4 268316 187477 80839 12516 11152 9971
8.5 0.0223492 0.0102627 0.00615423 0.109565 0.0302601 0.0188448 0.111322 0.0353342 0.0213804 0.10916 0.030522 0.0185498 0.120221 0.0314793 0.0211135 8.4 8.6 223290 149751 73539 11767 10246 8867
8.7 0.0305058 0.011398 0.00738311 0.138015 0.0300851 0.0221406 0.138312 0.0397974 0.0257993 0.134296 0.029942 0.0208547 0.15074 0.0316467 0.0237478 8.6 8.8 182219 120200 62019 10657 8855 7834
8.9 0.0405237 0.0127276 0.0088767 0.165735 0.0319328 0.0229419 0.168534 0.0398641 0.0290666 0.165817 0.0321906 0.0228191 0.175831 0.0327833 0.0198011 8.8 9 145948 96116 49832 9189 7364 6555
9.1 0.0530807 0.013896 0.0104331 0.204091 0.0336365 0.0245562 0.203958 0.0368133 0.0274267 0.203387 0.0343109 0.0264481 0.219423 0.0340743 0.0258623 9 9.2 119273 78904 40369 7939 6242 5479
9.3 0.0702436 0.0152707 0.0126878 0.25108 0.0299097 0.0257558 0.238062 0.0303719 0.0270252 0.244058 0.0313564 0.0249946 0.262658 0.0339094 0.0261412 9.2 9.4 97849 65180 32669 6488 5281 4631
9.5 0.0919791 0.0158426 0.0139092 0.292778 0.0250435 0.0224288 0.273386 0.0281927 0.0302472 0.28932 0.0239334 0.0245619 0.31027 0.0293384 0.0212343 9.4 9.6 82744 55238 27506 5333 4628 4085
9.7 0.1203 0.0168949 0.0164471 0.344124 0.0226162 0.0215674 0.30175 0.0273961 0.0262215 0.348593 0.0254375 0.0248018 0.369136 0.0268835 0.0226316 9.6 9.8 71602 48279 23323 4008 4094 3626
9.9 0.153339 0.0166141 0.015438 0.40033 0.0219262 0.0202472 0.322498 0.0302263 0.0291505 0.412639 0.0278095 0.0285116 0.435216 0.0245267 0.019402 9.8 10 63339 42933 20406 2764 3747 3291
10.1 0.20332 0.0161059 0.0172834 0.464233 0.020899 0.0168888 0.36239 0.0288935 0.0272139 0.488267 0.02318 0.0163476 0.494826 0.0178475 0.0167446 10 10.2 57008 38980 18028 1632 3571 3138
10.3 0.270179 0.01428 0.0180592 0.541847 0.0182986 0.0168836 0.412121 0.0323232 0.0280153 0.548037 0.0223321 0.0214321 0.577786 0.0158947 0.0141841 10.2 10.4 51809 35950 15859 821 3559 2868
10.5 0.35134 0.0159715 0.0161185 0.618001 0.0167559 0.0148947 0.495 0.0348507 0.0419256 0.629772 0.023079 0.0191571 0.649371 0.0166407 0.0164743 10.4 10.6 45040 31648 13392 320 3337 2540
10.7 0.456177 0.0151102 0.0176664 0.705559 0.0197425 0.0148808 0.573427 0.0439647 0.0411685 0.695323 0.0240242 0.0183882 0.74696 0.0151947 0.0159828 10.6 10.8 35847 25611 10236 120 2540 2163
10.9 0.572194 0.0209477 0.0224907 0.783562 0.015476 0.0157022 0.763158 0.0322967 0.03902 0.756418 0.021502 0.0198414 0.827016 0.0158006 0.0179836 10.8 11 23480 17303 6177 35 1508 1466
11.1 0.696615 0.0242035 0.0296561 0.855584 0.0165533 0.0148501 0.636364 0.141414 0.30303 0.795132 0.0232043 0.0187343 0.882009 0.0160949 0.0137327 11 11.2 12046 9285 2761 6 472 865
11.3 0.818022 0.0210956 0.027679 0.899628 0.0129931 0.0160879 0 0 0 0.792453 0.0268243 0.0343883 0.909794 0.0146666 0.020563 11.2 11.4 4854 3974 880 1 74 330
11.5 0.917863 0.0144792 0.0146371 0.920245 0.0161182 0.0166921 0 0 0 0.75 0.0833333 0.15 0.925 0.0202054 0.0230392 11.4 11.6 1631 1446 185 0 6 82
11.7 0.949153 0.0115725 0.0120456 0.962963 0.037037 0.0343916 0 0 0 0 0 0 0.941176 0.0588235 0.0661765 11.6 11.8 440 411 29 0 0 9
11.9 0.980769 0.00923079 0.0137362 1 0 0 0 0 0 0 0 0 0 0 0 11.8 12 88 86 2 0 0 0
12.1 0.928571 0.0714286 0.0535714 0 0 0 0 0 0 0 0 0 0 0 0 12 12.2 8 8 0 0 0 0
12.3 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 12.2 12.4 0 0 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0 0 0
