#Observed stellar mass range: 10 < log10(M*/Msun) < 10.2
#Quenched: SFR / SM < 1e-11 / yr
#Galaxies at z=0 are selected as quenched via observed SSFR.
#Quenching histories are based on true SSFR.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit_X_Galaxies_Remaining: number of galaxies with most-massive progenitor trees extending to the scale factor in question.
#Scale_factor F(Q)_given_SF@z=0 Err+ Err- F(Q)_given_Q@z=0 Err+ Err- Bestfit_SF_Galaxies_Remaining Bestfit_Q_Galaxies_Remaining
1.002310 0.0120466 0.00896711 -0.00243925 0.993571 -0.0034951 0.0211298 37770 19289
0.994717 0.0605242 0.000539053 0.00995589 0.880191 0.0224176 0.000207305 37770 19289
0.987123 0.0881123 0.00137581 0.0120705 0.814713 0.0214111 0.00091958 37770 19289
0.979529 0.102939 0.00474453 0.0103206 0.768573 0.0214441 0.00348312 37770 19289
0.971935 0.119751 0.00375757 0.0149421 0.732801 0.0229111 0.000538707 37770 19289
0.964342 0.128197 0.00463299 0.0132288 0.701799 0.024091 -0.0024423 37770 19289
0.956748 0.137993 0.00601943 0.0149791 0.672404 0.0263727 -0.00242293 37770 19289
0.949154 0.144268 0.00720674 0.0103882 0.653896 0.0243098 -0.000744343 37770 19289
0.941560 0.151734 0.00683685 0.0127821 0.627301 0.0277687 -0.004062 37770 19289
0.933967 0.157029 0.00687031 0.0142375 0.608948 0.0276716 -0.00410229 37770 19289
0.926373 0.160471 0.00646925 0.0144158 0.591684 0.0262049 -0.00286365 37770 19289
0.918779 0.162086 0.00703661 0.0146017 0.573695 0.0260184 -0.00136948 37770 19289
0.911185 0.165052 0.00733389 0.0139251 0.558453 0.0251745 -0.000274003 37770 19289
0.903592 0.169102 0.006459 0.0153261 0.545959 0.0226512 0.00323057 37770 19289
0.895998 0.174848 0.00543931 0.0173366 0.532791 0.0195581 0.00656265 37770 19289
0.888404 0.179216 0.00353147 0.0195871 0.514335 0.0211126 0.00612468 37770 19289
0.880810 0.181811 0.00246793 0.0208121 0.501166 0.0178173 0.00898165 37770 19289
0.873217 0.182976 0.00189783 0.0207999 0.490072 0.016268 0.0108117 37770 19289
0.865623 0.186021 0.00131208 0.0212715 0.477889 0.0163572 0.0100335 37770 19289
0.858029 0.185041 0.00163835 0.0207146 0.470164 0.0156215 0.0112981 37770 19289
0.850435 0.187027 0.000672981 0.0216173 0.457463 0.0164005 0.0118707 37770 19289
0.842842 0.184829 0.00199218 0.0190768 0.447976 0.017089 0.0116305 37770 19289
0.835248 0.185359 0.00153221 0.0212873 0.437088 0.0171174 0.0121351 37770 19289
0.827654 0.182155 0.00137368 0.0210239 0.425528 0.0162396 0.0128291 37770 19289
0.820060 0.182923 0.00100575 0.0199459 0.417699 0.0159954 0.0128526 37770 19289
0.812467 0.179719 0.00116527 0.0202038 0.403753 0.0196005 0.0102 37770 19289
0.804873 0.180805 -0.000284657 0.023263 0.396651 0.018171 0.0117027 37770 19289
0.797279 0.17866 -6.67721e-05 0.0216381 0.383638 0.0208209 0.0102412 37770 19289
0.789685 0.17874 0 0.022851 0.378713 0.0200752 0.0120608 37770 19289
0.782092 0.17829 -0.000898346 0.0234009 0.368034 0.0215738 0.0117916 37770 19289
0.774498 0.174212 -9.38475e-05 0.0213275 0.360205 0.0206391 0.012198 37770 19289
0.766904 0.172597 0.000500277 0.0210158 0.352533 0.0212207 0.0128612 37770 19289
0.759310 0.169764 0.000472471 0.0208014 0.344808 0.0229099 0.0112384 37770 19289
0.751717 0.16762 0.00163911 0.0198557 0.33672 0.0233297 0.011842 37770 19289
0.744123 0.167911 0.00104688 0.0212715 0.327803 0.0248619 0.0119452 37770 19289
0.736529 0.165793 0 0.0232908 0.324537 0.022346 0.0154422 37770 19289
0.728935 0.164602 0.00189233 0.0213087 0.314946 0.0237817 0.013597 37770 19289
0.721342 0.162907 0.00075148 0.0242641 0.309918 0.0207359 0.0166806 37770 19289
0.713748 0.158962 0.00107735 0.0227481 0.305304 0.020891 0.0175237 37770 19289
0.706154 0.156712 0.00179841 0.023529 0.291876 0.0246432 0.0132469 37770 19289
0.698560 0.154329 0.00284214 0.0231976 0.283633 0.0247726 0.0146054 37770 19289
0.690967 0.151946 0.00386548 0.0216042 0.277049 0.0231228 0.0160739 37770 19289
0.683373 0.147366 0.00363435 0.0210732 0.269273 0.0257853 0.0162706 37770 19289
0.678310 0.146121 0.00379868 0.0218642 0.265799 0.0234512 0.0189092 37770 19289
0.673248 0.144665 0.00381944 0.0220826 0.261963 0.0250085 0.0158984 37770 19289
0.668185 0.141488 0.00371163 0.0229928 0.253823 0.0258861 0.015617 37770 19289
0.663123 0.13982 0.00403866 0.0239172 0.25429 0.0226812 0.0191789 37770 19289
0.658060 0.136378 0.00503969 0.0219131 0.248846 0.0236328 0.0191338 37770 19289
0.652998 0.137014 0.00413246 0.0232624 0.250661 0.022576 0.020661 37770 19289
0.647935 0.135716 0.00466824 0.0228499 0.242885 0.0255159 0.0185494 37770 19289
0.642873 0.134154 0.00351967 0.0240588 0.240396 0.0249208 0.0215629 37770 19289
0.637810 0.133651 0.00405341 0.0251125 0.234953 0.0254862 0.0186576 37770 19289
0.632748 0.132618 0.00481544 0.0246591 0.230909 0.0244887 0.0193299 37770 19289
0.627685 0.130765 0.00526962 0.0253992 0.22785 0.0252146 0.0199676 37770 19289
0.622623 0.126264 0.00551002 0.0239508 0.221992 0.0266991 0.0208087 37770 19289
0.617560 0.123643 0.00611082 0.0240498 0.222562 0.0242222 0.0231333 37770 19289
0.612498 0.122875 0.00584193 0.0248678 0.222458 0.0222887 0.0263465 37770 19289
0.607435 0.119804 0.00714404 0.0236257 0.215978 0.0244038 0.0246112 37770 19289
0.602373 0.119036 0.00580432 0.0246755 0.212816 0.0232154 0.024529 37770 19289
0.597310 0.115833 0.00578709 0.0248817 0.208098 0.0243378 0.0250449 37770 19289
0.592248 0.114059 0.00531278 0.0253559 0.204469 0.0256553 0.025529 37770 19289
0.587185 0.112841 0.00551026 0.0243218 0.201099 0.0242662 0.0239028 37770 19289
0.582123 0.112417 0.00647905 0.0258278 0.198559 0.0236157 0.0262641 37770 19289
0.577060 0.110432 0.00539877 0.0253987 0.190368 0.026332 0.0240819 37770 19289
0.571997 0.10744 0.0070321 0.0257903 0.191664 0.0237425 0.0266017 37770 19289
0.566935 0.104951 0.00666528 0.0236881 0.18819 0.0244829 0.0250792 37770 19289
0.561872 0.104024 0.00626726 0.0248073 0.183161 0.0243787 0.0262535 37770 19289
0.556810 0.100556 0.00700936 0.0246036 0.179895 0.0233584 0.027458 37770 19289
0.551747 0.0996823 0.00611147 0.0255705 0.176474 0.0228377 0.026427 37770 19289
0.546685 0.0981996 0.00599086 0.0245251 0.175644 0.0200388 0.028857 37770 19289
0.541622 0.0937517 0.00638953 0.0242248 0.171393 0.0212907 0.0291933 37770 19289
0.536560 0.0916336 0.00602624 0.024046 0.166209 0.0204857 0.0272562 37770 19289
0.531497 0.0888536 0.00727348 0.0238162 0.163202 0.0195979 0.028664 37770 19289
0.526435 0.0863119 0.00720103 0.0231834 0.160713 0.0177376 0.0280641 37770 19289
0.521372 0.0856235 0.00612769 0.0249263 0.159314 0.017194 0.030947 37770 19289
0.516310 0.0836643 0.00615116 0.0236432 0.156359 0.016548 0.0305 37770 19289
0.511247 0.0823405 0.00687493 0.0240784 0.153092 0.0162232 0.0295227 37770 19289
0.506185 0.0796134 0.00713454 0.0229861 0.148219 0.0158277 0.0310514 37770 19289
0.501122 0.076251 0.00768472 0.022125 0.146353 0.0144359 0.0305073 37770 19289
0.496060 0.0746095 0.00769197 0.0219127 0.142516 0.0138711 0.0305945 37770 19289
0.490997 0.0699762 0.0093789 0.0221835 0.140235 0.0139284 0.0314829 37770 19289
0.485935 0.0688112 0.00764489 0.0231571 0.133651 0.0144968 0.0289799 37770 19289
0.480872 0.0665608 0.00724285 0.0228058 0.130126 0.0133966 0.0288667 37770 19289
0.475810 0.0626158 0.00717142 0.0218453 0.126808 0.0135399 0.0298718 37770 19289
0.470747 0.059677 0.00740942 0.0205608 0.123386 0.0121226 0.0310077 37770 19289
0.465685 0.0571088 0.00788252 0.0199779 0.120691 0.0121701 0.0307545 37770 19289
0.460622 0.054726 0.00756669 0.0208157 0.115714 0.0120837 0.0295967 37770 19289
0.455560 0.051893 0.00892217 0.0192026 0.115195 0.0122017 0.0309609 37770 19289
0.450497 0.0495631 0.00682885 0.0194354 0.109285 0.0131723 0.0299463 37770 19289
0.445435 0.0480805 0.00615363 0.0195872 0.103997 0.0136793 0.0286311 37770 19289
0.440372 0.0437384 0.00801416 0.0184651 0.0982944 0.015462 0.0267039 37770 19289
0.435310 0.041382 0.00815494 0.0187448 0.096117 0.0143583 0.0295653 37770 19289
0.430247 0.0398464 0.00895829 0.0182972 0.0903105 0.0141321 0.0284008 37770 19289
0.425185 0.0371724 0.00856584 0.0174048 0.0850744 0.0141719 0.0274148 37770 19289
0.420122 0.0355573 0.00779999 0.0177267 0.079268 0.0143253 0.0253223 37770 19289
0.415060 0.0349484 0.00726636 0.0178073 0.0751205 0.0151054 0.0250606 37770 19289
0.409997 0.0322743 0.00745408 0.01756 0.0708176 0.0135805 0.0241863 37770 19289
0.404935 0.0306328 0.00696774 0.0166592 0.0678107 0.0142247 0.0243073 37770 19289
0.399872 0.0282499 0.00635263 0.015897 0.0641817 0.0133686 0.0251268 37770 19289
0.394810 0.02592 0.00673368 0.0152294 0.0593084 0.0125415 0.0227354 37770 19289
0.389747 0.0245433 0.00592229 0.0155052 0.0572347 0.0112692 0.023875 37770 19289
0.384685 0.0220545 0.00621246 0.0139542 0.0533465 0.0107484 0.023196 37770 19289
0.379622 0.0200159 0.00567687 0.0129109 0.0493546 0.0110509 0.0217115 37770 19289
0.374560 0.0188774 0.00437775 0.0127702 0.0469179 0.0100124 0.0217482 37770 19289
0.369497 0.0171035 0.0043619 0.0119318 0.0451553 0.0107541 0.0222825 37770 19289
0.364435 0.014959 0.00422615 0.0109699 0.0415263 0.0117393 0.0216175 37770 19289
0.359372 0.0136087 0.00398679 0.00988194 0.0392452 0.0100694 0.0216455 37770 19289
0.354310 0.0126026 0.00360093 0.00965161 0.0349422 0.00775582 0.0195881 37770 19289
0.349247 0.0106434 0.00384899 0.00835486 0.0330758 0.00773152 0.0192354 37770 19289
0.344185 0.00921366 0.0035975 0.0073021 0.0290839 0.00827669 0.0171826 37770 19289
0.339122 0.00897538 0.00321685 0.00742426 0.0279434 0.00778656 0.0168699 37770 19289
0.334060 0.00786338 0.00340719 0.00675501 0.0263363 0.00779137 0.01669 37770 19289
0.328997 0.00714853 0.00325305 0.00618001 0.0246254 0.00701354 0.0164044 37770 19289
0.323935 0.00614244 0.00306518 0.00538774 0.0218259 0.00751005 0.0151243 37770 19289
0.318873 0.00540111 0.00333481 0.00483509 0.0185598 0.00759142 0.0126839 37770 19289
0.313810 0.0045274 0.00306044 0.00397322 0.0162787 0.00784519 0.0115991 37770 19289
0.308748 0.00439502 0.00314137 0.00407158 0.0147753 0.00701567 0.0110684 37770 19289
0.303685 0.0037596 0.00264675 0.00348195 0.0136347 0.00648255 0.0103994 37770 19289
0.298623 0.00280646 0.0024075 0.00254442 0.0106278 0.00615269 0.00808769 37770 19289
0.293560 0.00288589 0.00216154 0.00272668 0.0102131 0.00576068 0.00836294 37770 19289
0.288498 0.00256818 0.00188212 0.00245947 0.00917621 0.00452378 0.00780439 37770 19289
0.283435 0.0019857 0.00196426 0.00190709 0.00793198 0.00372997 0.00703474 37770 19289
0.278373 0.00153561 0.00159727 0.00150876 0.00679144 0.00418973 0.00625335 37770 19289
0.273310 0.00108552 0.00157605 0.00105955 0.00668775 0.00330511 0.00628369 37770 19289
0.268248 0.00108552 0.000877301 0.00105972 0.00487324 0.00348073 0.00457137 37770 19289
0.263185 0.000847233 0.000962095 0.000847233 0.00404376 0.00298419 0.00375044 37770 19289
0.258123 0.000661901 0.000684032 0.000635943 0.00383638 0.00231307 0.00361478 37770 19289
0.253060 0.000423617 0.000760174 0.000423617 0.00290321 0.00206985 0.0027957 37770 19289
0.247998 0.00026476 0.00047855 0.00026476 0.00228109 0.00181708 0.00218134 37770 19289
