#Peak halo mass range: 12.125 < log10(Mh/Msun) < 12.375
#Quenched threshold: True SFR / True SM < 1e-11 / yr
#True SFHs in units of Msun/yr.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit_X_Galaxies_Remaining: number of galaxies with most-massive progenitor trees extending to the scale factor in question.
#Scale_factor F(Q)_given_SF@z=0 Err+ Err- F(Q)_given_Q@z=0 Err+ Err- Bestfit_SF_Halos_Remaining Bestfit_Q_Halos_Remaining
1.002310 0 0 0 1 0 0 20326 21102
0.994717 0.0950999 -0.0057354 0.0266751 0.901431 0.0298636 -0.00805086 20326 21102
0.987123 0.134262 -0.00393584 0.0218096 0.852763 0.0304495 -0.00493109 20326 21102
0.979529 0.165158 -0.00181453 0.0213491 0.817458 0.0312667 -0.00299978 20326 21102
0.971935 0.189806 0.00362557 0.0200562 0.79092 0.0303498 -0.00035727 20326 21102
0.964342 0.206484 0.00150375 0.0187162 0.773813 0.0284798 -0.000129104 20326 21102
0.956748 0.226262 0.0037619 0.0200467 0.751114 0.0314631 0.00139141 20326 21102
0.949154 0.239447 0.00653504 0.0171991 0.733911 0.0304664 0 20326 21102
0.941560 0.255682 0.00550124 0.0197124 0.71633 0.0295731 0.00197577 20326 21102
0.933967 0.266604 0.00504592 0.0206638 0.698938 0.0330634 -0.00112867 20326 21102
0.926373 0.275804 0.00496507 0.0229319 0.684485 0.0317822 -0.000547647 20326 21102
0.918779 0.282692 0.00426441 0.0227089 0.672732 0.0308572 -0.000953317 20326 21102
0.911185 0.29263 0.00497159 0.0234236 0.661928 0.030351 0.00165677 20326 21102
0.903592 0.303405 0.00222111 0.0265054 0.654346 0.0244925 0.00546032 20326 21102
0.895998 0.30857 0.00110379 0.027188 0.641835 0.0215576 0.00803894 20326 21102
0.888404 0.319 -0.00153601 0.0327893 0.633874 0.0207886 0.009754 20326 21102
0.880810 0.329381 -0.00393495 0.0365389 0.627144 0.0161914 0.015192 20326 21102
0.873217 0.335974 -0.00499842 0.0351475 0.614492 0.0157419 0.0159202 20326 21102
0.865623 0.340943 -0.00347397 0.0343505 0.607051 0.0153463 0.0168687 20326 21102
0.858029 0.348076 -0.00453553 0.0380016 0.596436 0.0176141 0.0139813 20326 21102
0.850435 0.346846 -0.00442404 0.0374979 0.587622 0.0163596 0.0153499 20326 21102
