#Peak halo masses in Msun
#Fractions of *quenched satellites* that were quenched after infall
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0
8.75 0 0 0 0 0 0 0 0 0 8.625 8.875 315542 0 0 0
9.00 0 0 0 0 0 0 0 0 0 8.875 9.125 477628 10 0 0
9.25 0 0 0 0 0 0 0 0 0 9.125 9.375 1.25656e+06 204 0 0
9.50 0 0 0 0 0 0 0 0 0 9.375 9.625 2.33171e+06 1317 7 0
9.75 0 0 0 0 0 0 0 0 0 9.625 9.875 2.3372e+06 2874 10 0
10.00 0 0.494356 0 0 0 0 0 0 0 9.875 10.125 1.49528e+06 3744 15 0
10.25 0 0.579861 0 0 0 0 0 0 0 10.125 10.375 782215 3574 14 0
10.50 0 0.658986 0 0 0 0 0 0 0 10.375 10.625 361552 2567 12 0
10.75 0 0.653605 0 0 0 0 0 0 0 10.625 10.875 159830 1719 6 0
11.00 0 0.75 0 0 0 0 0 0 0 10.875 11.125 66022 1135 6 0
11.25 0 0.9 0 0 0 0 0 0 0 11.125 11.375 25278 719 3 0
11.50 1 -0.0857143 1 0 0 0 0 0 0 11.375 11.625 8629 344 1 0
11.75 0 0.5 0 0 0 0 0 0 0 11.625 11.875 2564 85 1 0
12.00 0 0.5 0 0 0 0 0 0 0 11.875 12.125 699 9 0 0
12.25 0 0 0 0 0 0 0 0 0 12.125 12.375 126 0 0 0
12.50 0 0 0 0 0 0 0 0 0 12.375 12.625 27 0 0 0
12.75 0 0 0 0 0 0 0 0 0 12.625 12.875 5 0 0 0
13.00 0 0 0 0 0 0 0 0 0 12.875 13.125 0 0 0 0
13.25 0 0 0 0 0 0 0 0 0 13.125 13.375 0 0 0 0
13.50 0 0 0 0 0 0 0 0 0 13.375 13.625 0 0 0 0
13.75 0 0 0 0 0 0 0 0 0 13.625 13.875 0 0 0 0
14.00 0 0 0 0 0 0 0 0 0 13.875 14.125 0 0 0 0
14.25 0 0 0 0 0 0 0 0 0 14.125 14.375 0 0 0 0
14.50 0 0 0 0 0 0 0 0 0 14.375 14.625 0 0 0 0
14.75 0 0 0 0 0 0 0 0 0 14.625 14.875 0 0 0 0
15.00 0 0 0 0 0 0 0 0 0 14.875 15.125 0 0 0 0
15.25 0 0 0 0 0 0 0 0 0 15.125 15.375 0 0 0 0
15.50 0 0 0 0 0 0 0 0 0 15.375 15.625 0 0 0 0
15.75 0 0 0 0 0 0 0 0 0 15.625 15.875 0 0 0 0
