#Peak halo masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(Centrals) Err+ Err- FQ(Sats) Err+ Err- FQ(Sats_MW) Err+ Err- FQ(Sats_Group) Err+ Err- FQ(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Cen_Halo_Counts Bestfit_Sat_Halo_Counts Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0 0
8.75 8.27849e-05 0 4.13924e-05 0 0 0 0 0 0 0 0 0 0 0 0 8.625 8.875 25958 24159 1799 127 294 330
9.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.875 9.125 46433 40861 5572 395 1022 1122
9.25 2.16651e-05 1.0831e-05 1.08337e-05 6.07552e-05 -2.39852e-08 6.07552e-05 0 0 0 0 0 0 0 0 0 9.125 9.375 217548 184629 32919 2652 6339 6141
9.50 7.55556e-05 4.70715e-05 4.28085e-05 0.000188555 0.000168456 0.000107901 0.000116686 0.000115845 0.000116686 7.58898e-05 0.000150355 7.58898e-05 0.000395444 0.00022824 0.000238162 9.375 9.625 786326 701470 84856 8570 13177 12644
9.75 0.000975054 0.000468303 0.000488686 0.00143867 0.00076826 0.000701865 0.00141821 0.000872612 0.000674919 0.00177557 0.00119757 0.000734985 0.0026888 0.000649338 0.00175701 9.625 9.875 2.14637e+06 1.90656e+06 239805 24679 28160 25662
10.00 0.00135182 0.000416842 0.00079163 0.00393854 0.00134562 0.00243002 0.00376761 0.00183313 0.00212188 0.00408826 0.00183648 0.00223573 0.00612128 0.000769631 0.00415184 9.875 10.125 3.26517e+06 2.79698e+06 468194 53084 54791 47049
10.25 0.00216585 0.000442969 0.00155294 0.00995197 0.0026975 0.00515726 0.00906962 0.00386308 0.00396567 0.0120647 0.00368554 0.00562991 0.0154923 0.0017265 0.00872896 10.125 10.375 2.39495e+06 1.9475e+06 447449 53806 53213 44990
10.50 0.004483 0.000311485 0.00302694 0.0253964 0.0062019 0.00881221 0.0234926 0.0104379 0.00688331 0.0300064 0.00897141 0.00921897 0.0394718 0.0028272 0.0172229 10.375 10.625 1.51064e+06 1.16551e+06 345127 44099 42291 35443
10.75 0.0100435 0.000387819 0.00634425 0.0609848 0.0147502 0.0145657 0.0537384 0.0225868 0.0090182 0.0666815 0.0171997 0.0152557 0.0873935 0.00552808 0.0303358 10.625 10.875 938258 695378 242880 35282 31463 26169
11.00 0.0220852 0.000884414 0.0119552 0.119043 0.0203235 0.0221541 0.102799 0.0344317 0.0116155 0.129008 0.0205721 0.0221208 0.159005 0.00649133 0.0398622 10.875 11.125 578951 414304 164647 27870 22394 18012
11.25 0.0481673 0.000623293 0.02053 0.201106 0.0239605 0.0226277 0.171661 0.0413965 0.0117584 0.207367 0.0228941 0.0214851 0.253138 0.00828165 0.0428057 11.125 11.375 344479 247346 97133 20523 14660 11713
11.50 0.0990757 -0.00188439 0.0327529 0.314758 0.0247613 0.0180125 0.252828 0.0395624 0.0110318 0.325176 0.0255206 0.0185571 0.376751 0.00946373 0.0398559 11.375 11.625 203798 148654 55144 12732 9644 7209
11.75 0.179839 -0.00374088 0.0396927 0.448918 0.0270895 0.00792673 0.352899 0.0435153 0.00363153 0.451542 0.0388743 -0.00133008 0.505657 0.011561 0.0278723 11.625 11.875 120282 88813 31469 4225 6387 4596
12.00 0.292598 -0.00178173 0.0409906 0.588844 0.0262858 0.00147915 0.488938 0.0765069 -0.0154672 0.59252 0.03441 -0.00147271 0.613416 0.0118491 0.0195388 11.875 12.125 70524 52543 17981 452 4572 2892
12.25 0.437596 0.00529245 0.0388294 0.712717 0.0292721 0.000554144 0.765432 0.0503573 -0.00692558 0.702658 0.0381306 -0.00427103 0.745847 0.0199381 0.0113479 12.125 12.375 41060 31136 9924 81 3010 1806
12.50 0.584555 0.0191776 0.0279685 0.818282 0.0279124 0.00267422 0.947368 -0.00292403 0.0343249 0.80011 0.0339766 0.000603974 0.827948 0.019789 0.00827551 12.375 12.625 23667 18219 5448 19 1816 1145
12.75 0.720177 0.0318279 0.0199131 0.892906 0.0209932 0.004017 1 0 0 0.856678 0.0235534 0.00404596 0.907583 0.0159143 0.00624961 12.625 12.875 13528 10596 2932 4 614 844
13.00 0.824506 0.0322337 0.0185632 0.937153 0.0148608 0.00346482 1 0 0 0.943662 0.0178764 -0.00154346 0.94518 0.0159315 0.00263023 12.875 13.125 7646 6023 1623 4 71 529
13.25 0.888 0.0237037 0.0124444 0.961842 0.0104849 0.00327861 1 0 0 1 0 0 0.97619 0.00329673 0.00119042 13.125 13.375 4135 3375 760 2 4 378
