#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 0 0 0 0 0 0 0 0 0 0 0 0 8.625 8.875 30417 2131 111 358 449
9 -4.4482e-05 4.4482e-05 0 -4.4482e-05 4.4482e-05 0 -4.4482e-05 4.4482e-05 0 -4.4482e-05 4.4482e-05 0 8.875 9.125 51083 6121 390 1075 1261
9.25 5.68952e-06 3.14593e-05 2.12432e-05 -5.70359e-05 4.14823e-05 -5.18992e-06 -5.70359e-05 4.66668e-05 -1.03738e-05 -5.70359e-05 4.66668e-05 -1.03738e-05 9.125 9.375 224746 31885 2277 5536 6161
9.5 0.000218951 0.00017686 0.000201655 0.000268343 3.55937e-05 0.000182883 0.000292361 0.000445438 0.000304086 0.000361052 0.000195565 0.000372784 9.375 9.625 751099 69540 6432 10195 10731
9.75 0.000850055 0.000544022 0.000758124 0.000312789 0.0015082 0.000240334 0.000738115 0.0013516 0.000784212 0.00293116 0.000553349 0.00259392 9.625 9.875 1.97162e+06 189700 18164 21485 21662
10 0.00559926 0.00175979 0.00432 0.00473625 0.0021642 0.00346067 0.00613844 0.00247784 0.00462372 0.00914278 0.00147928 0.00707379 9.875 10.125 3.02798e+06 423082 45266 48443 46145
10.25 0.0145918 0.00349059 0.00955135 0.0130081 0.0050379 0.00819841 0.017251 0.00489409 0.0107345 0.0235618 0.00206223 0.0155696 10.125 10.375 2.29397e+06 421706 47858 50062 45931
