#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 0 0 0 0 0 0 0 0 0 0 0 0 8.625 8.875 45979 1869 257 334 86
9 0 0 0 0 0 0 0 0 0 0 0 0 8.875 9.125 82558 5709 892 1184 316
9.25 -5.85854e-06 3.61593e-05 5.85923e-06 -5.85854e-06 0.000136734 1.1717e-05 -5.85854e-06 0 1.46433e-05 -5.85854e-06 0 1.46433e-05 9.125 9.375 383073 41691 6582 8313 2405
9.5 8.69394e-05 0.000688521 -1.72862e-05 6.00776e-05 0.00083288 -2.42016e-05 0.000176323 0.000961724 0 0.000332351 0.0011929 2.68603e-05 9.375 9.625 1.49908e+06 178890 27317 26649 7165
9.75 0.000298316 0.00235701 0 0.000592155 0.00391937 2.0503e-05 0.00062228 0.0043215 0.000104735 0.000393336 0.00506893 -0.000457323 9.625 9.875 3.54826e+06 451048 62178 47375 12076
10 0.000144815 0.0011553 -2.67481e-05 0.000184335 0.0019337 -8.93841e-05 0.000238818 0.00222286 0 0.00104764 0.00189825 0.000245452 9.875 10.125 3.9775e+06 573820 79967 56638 14195
10.25 0.000706736 0.00163255 0.000405062 0.000835608 0.00203865 0.000386908 0.00130107 0.00251827 0.000823548 0.00197498 0.00404696 0.00125408 10.125 10.375 2.69776e+06 505517 74191 49445 12564
