#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-10-26T17:59:56 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5db48985b4a9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=29	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJ/814/95&tab:{J/ApJ/814/95/highz}&key:source=J/ApJ/814/95&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/814/95/highz
#-order=I
#-out=ID
#-out=RAJ2000
#-out=DEJ2000
#-out=z
#-out=b_z
#-out=B_z
#-out=logM*
#-out=b_logM*
#-out=B_logM*
#-out=Age
#-out=b_Age
#-out=B_Age
#-out=E(B-V)
#-out=b_E(B-V)
#-out=B_E(B-V)
#-out=SFR
#-out=b_SFR
#-out=B_SFR
#-out=Simbad
#Simbad=Simbad
#

#RESOURCE=yCat_18140095
#Name: J/ApJ/814/95
#Title: Star formation rate of 4<~z<~8 galaxies (Finkelstein+, 2015)
#Table	J_ApJ_814_95_highz:
#Name: J/ApJ/814/95/highz
#Title: Stellar populations of bright galaxies at z=4, 5, 6 and 7 (tables 3-6)
#Column	ID	(A12)	Galaxy identifier (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F5.2)	[3.5/7.7] Redshift	[ucd=src.redshift]
#Column	b_z	(F5.2)	[0.6/7.5] Minimum redshift	[ucd=src.redshift;stat.min]
#Column	B_z	(F5.2)	[3.6/7.9] Maximum redshift	[ucd=src.redshift;stat.max]
#Column	logM*	(F5.2)	[8.7/11.3] Log of stellar mass	[ucd=phys.mass]
#Column	b_logM*	(F5.2)	[6.5/11.2] Minimum logM*	[ucd=phys.mass;stat.min]
#Column	B_logM*	(F5.2)	[9.2/11.4] Maximum logM*	[ucd=phys.mass;stat.max]
#Column	Age	(I4)	[10/1015] Age	[ucd=time.age]
#Column	b_Age	(I3)	[10/904] Minimum Age	[ucd=time.age;stat.min]
#Column	B_Age	(I4)	[10/1015] Maximum Age	[ucd=time.age;stat.max]
#Column	E(B-V)	(F5.2)	[0/0.4] B-V color excess	[ucd=phot.color.excess]
#Column	b_E(B-V)	(F5.2)	[0/0.4] Minimum E(B-V)	[ucd=phot.color;stat.min]
#Column	B_E(B-V)	(F5.2)	[0.02/0.7] Maximum E(B-V)	[ucd=phot.color;stat.max]
#Column	SFR	(I4)	[12/1066] Star formation rate	[ucd=phys.SFR]
#Column	b_SFR	(I3)	[0/863] Minimum SFR	[ucd=phys.SFR;stat.min]
#Column	B_SFR	(I4)	[15/1186] Maximum SFR	[ucd=phys.SFR;stat.max]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
ID;RAJ2000;DEJ2000;z;b_z;B_z;logM*;b_logM*;B_logM*;Age;b_Age;B_Age;E(B-V);b_E(B-V);B_E(B-V);SFR;b_SFR;B_SFR;Simbad
 ;deg;deg; ; ; ;[Msun];[Msun];[Msun];Myr;Myr;Myr;mag;mag;mag;Msun/yr;Msun/yr;Msun/yr;
------------;----------;----------;-----;-----;-----;-----;-----;-----;----;---;----;-----;-----;-----;----;---;----;------
z4_GSD_34736;053.096840;-27.866074; 3.51; 3.44; 3.66; 9.97;10.13;10.49;  10; 19; 101; 0.34; 0.18; 0.34; 451;109; 434;Simbad
z4_GSD_30292;053.086891;-27.844139; 3.51; 3.46; 3.75;10.49;10.31;10.51;  57; 49;  90; 0.24; 0.16; 0.32; 132; 64; 322;Simbad
z4_GNW_9013 ;189.085114;+62.160465; 3.54; 3.49; 3.60; 9.97; 9.93;10.15;1015;202;1015; 0.10; 0.02; 0.10;  54; 26;  53;Simbad
z4_ERS_4095 ;053.143330;-27.690090; 3.55; 3.48; 3.67;10.27;10.17;10.55;  49; 30; 101; 0.16; 0.14; 0.28;  88; 73; 299;Simbad
z4_ERS_9969 ;053.120926;-27.709446; 3.57; 3.52; 3.64; 9.68; 9.43; 9.68;  57; 30; 286; 0.04; 0.00; 0.10;  20; 14;  38;Simbad
z4_GNW_26176;189.483200;+62.284786; 3.63; 3.57; 3.71; 9.99; 9.96;10.18;  90; 40; 202; 0.12; 0.02; 0.14;  65; 27;  85;Simbad
z4_GNW_1986 ;189.159058;+62.115471; 3.64; 3.58; 3.70; 9.98; 9.96;10.19; 101; 49;1015; 0.08; 0.06; 0.10;  55; 44;  77;Simbad
z4_ERS_16929;053.087231;-27.729538; 3.64; 3.58; 3.72; 9.42; 9.21; 9.85;  19; 10;  40; 0.14; 0.14; 0.20;  59; 55; 109;Simbad
z4_GSD_29028;053.087368;-27.839535; 3.64; 3.52; 3.75;10.17;10.12;10.22;  80; 80; 101; 0.10; 0.06; 0.10;  38; 25;  40;Simbad
z4_ERS_20075;053.020580;-27.742151; 3.65; 3.59; 3.71;10.55;10.54;10.66; 202;202; 570; 0.06; 0.02; 0.08;  75; 53; 104;Simbad
z4_GND_30689;189.339355;+62.216450; 3.66; 3.59; 3.75; 9.45; 9.40; 9.70;  39; 30;  71; 0.04; 0.00; 0.10;  20; 14;  36;Simbad
z4_GSW_4356 ;053.109478;-27.879360; 3.67; 3.61; 3.77; 9.72; 9.66; 9.90;  57; 49;  90; 0.00; 0.00; 0.08;  19; 19;  43;Simbad
z4_GSD_15786;053.071735;-27.798437; 3.67; 3.60; 3.75; 9.61; 9.67; 9.88;  49; 57;1015; 0.04; 0.00; 0.10;  19; 14;  33;Simbad
z4_GSD_535  ;053.198959;-27.737940; 3.69; 3.57; 3.81; 9.59; 9.53; 9.79;  49; 40;  57; 0.00; 0.00; 0.08;  18; 17;  39;Simbad
z4_ERS_3396 ;053.117710;-27.686771; 3.69; 3.64; 3.75; 9.90; 9.53; 9.90;  49; 30;  49; 0.10; 0.08; 0.16;  48; 40;  74;Simbad
z4_GSD_21002;053.121414;-27.814621; 3.69; 3.63; 3.76; 9.80; 9.57; 9.85;  30; 10;  30; 0.18; 0.16; 0.24;  93; 70; 152;Simbad
z4_GSD_35257;053.107422;-27.869299; 3.70; 3.58; 3.82;10.46;10.24;10.47; 101; 71; 101; 0.28; 0.10; 0.28; 222; 45; 240;Simbad
