#Observed stellar masses in Msun
#Infall delay times in Gyr.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.774498.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#SM Median_Infall_Delay_Time(MW) Err+ Err- +1_sigma_Infall_Delay_Time(MW) Err+ Err- -1_sigma_Infall_Delay_Time(MW) Err+ Err- Median_Infall_Delay_Time(GR) Err+ Err- +1_sigma_Infall_Delay_Time(GR) Err+ Err- -1_sigma_Infall_Delay_Time(GR) Err+ Err- Median_Infall_Delay_Time(CL) Err+ Err- +1_sigma_Infall_Delay_Time(CL) Err+ Err- -1_sigma_Infall_Delay_Time(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 3.15244 0.196706 0.216367 5.37467 0.0947633 0.11571 0.939278 0.087984 0.070666 3.71283 0.234795 0.276191 5.76209 0.113391 0.124094 0.991452 0.0776241 0.0678873 3.89738 0.0732956 0.12492 5.8077 0.0621967 0.0910645 1.15625 0.0220783 0.0289085 7.2 7.4 638571 18195 17583 14646
7.5 3.20431 0.165808 0.174165 5.37676 0.0907426 0.0839577 0.988127 0.0801614 0.0609676 3.92967 0.132782 0.127495 5.87851 0.0866289 0.0871363 1.06722 0.0577961 0.0554485 4.03088 0.0758653 0.0601263 5.99071 0.0498567 0.0834193 1.21284 0.0445045 0.0353223 7.4 7.6 544939 16995 15919 13542
7.7 3.16356 0.15282 0.12025 5.3453 0.143151 0.0878844 1.02912 0.0566117 0.0576159 3.98798 0.172714 0.144898 5.93848 0.10323 0.0962648 1.09027 0.0889474 0.0541345 4.14802 0.0797977 0.0640497 6.07337 0.0496979 0.0393667 1.28118 0.0285219 0.024579 7.6 7.8 458239 15554 14449 12052
7.9 3.19112 0.295324 0.148618 5.45086 0.568192 0.211751 1.03292 0.123074 0.0798895 4.14633 0.245181 0.18046 6.12098 0.262887 0.158608 1.16451 0.0923867 0.0596954 4.39135 0.0666652 0.103116 6.31897 0.0997839 0.120152 1.3425 0.0332965 0.0331433 7.8 8 379470 13855 12918 10953
8.1 3.44678 0.64699 0.317094 6.38054 1.10595 0.710185 1.13504 0.219542 0.118571 4.4295 0.36705 0.250016 6.72013 0.789731 0.419508 1.26785 0.189649 0.0991688 4.66554 0.16824 0.138 6.80072 0.285949 0.207012 1.46046 0.0754055 0.0715889 8 8.2 313815 13115 11742 10030
8.3 3.89376 0.720615 0.438352 7.28253 0.525584 0.593646 1.3298 0.327946 0.18184 4.73384 0.378972 0.247152 7.77274 0.63309 0.767803 1.49944 0.236037 0.136462 5.04496 0.150323 0.117119 7.38878 0.329822 0.216147 1.67274 0.0932101 0.079793 8.2 8.4 264408 13006 11269 9506
8.5 4.04713 0.645508 0.412381 7.34358 0.369518 0.370513 1.42051 0.30745 0.163524 4.79946 0.343649 0.224288 7.8837 0.503737 0.476241 1.57305 0.188191 0.123231 5.15463 0.12652 0.110034 7.57999 0.297892 0.188562 1.77809 0.0706172 0.0636691 8.4 8.6 220091 12138 10190 8569
8.7 3.94635 0.613106 0.375279 7.15297 0.347576 0.346092 1.39582 0.282972 0.164028 4.82332 0.320171 0.212971 7.93157 0.412549 0.383167 1.54804 0.198298 0.110124 5.20469 0.11336 0.104353 7.62098 0.218123 0.171751 1.82658 0.087867 0.0577546 8.6 8.8 177152 10800 8896 7369
8.9 3.76919 0.549739 0.319557 6.8112 0.389465 0.284253 1.31546 0.255875 0.132045 4.70498 0.341854 0.218031 7.81072 0.419994 0.453734 1.51804 0.182758 0.0998404 5.245 0.108732 0.0920033 7.65033 0.202162 0.153806 1.87384 0.0902656 0.0816429 8.8 9 143451 9418 7316 6208
9.1 3.65144 0.577316 0.387114 6.61276 0.404082 0.376387 1.31068 0.229902 0.1699 4.65065 0.309013 0.184473 7.75219 0.410173 0.373901 1.51748 0.210721 0.104927 5.20881 0.0900545 0.0939412 7.59206 0.178536 0.149669 1.81463 0.0848541 0.0557299 9 9.2 116178 8078 6232 5126
