#Observed stellar masses in Msun
#Quenching delay times in Gyr.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.389747.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of quenched(all)/quenched after infall(sats) galaxies in the bin for the bestfit model.
#SM Median_Quenching_Delay_Time(MW) Err+ Err- +1_sigma_Quenching_Delay_Time(MW) Err+ Err- -1_sigma_Quenching_Delay_Time(MW) Err+ Err- Median_Quenching_Delay_Time(GR) Err+ Err- +1_sigma_Quenching_Delay_Time(GR) Err+ Err- -1_sigma_Quenching_Delay_Time(GR) Err+ Err- Median_Quenching_Delay_Time(CL) Err+ Err- +1_sigma_Quenching_Delay_Time(CL) Err+ Err- -1_sigma_Quenching_Delay_Time(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 1.03971 0.322794 0.236928 1.90937 0.47404 0.457131 0.38029 0.338702 0.196234 0.925 0.375 0.25 1.80048 0.658051 0.539185 0.347759 0.325039 0.201003 1.175 0.375 0.675 1.6762 0.976202 0.509018 0.151044 0.417947 0.0772461 7.2 7.4 271 99 41 5
7.5 1.335 0.244167 0.51 2.38028 0.205851 0.841343 0.601445 0.199639 0.352525 1.3125 0.3325 0.5375 2.33912 0.365689 1.01676 0.620554 0.200361 0.476162 1.475 0.175 0.5 2.23101 0.445193 0.754807 0.873798 0.455529 0.746874 7.4 7.6 338 176 75 18
7.7 1.4375 0.319167 0.391 2.567 0.0808296 0.511327 0.700689 0.17876 0.32198 1.6 0.283333 0.625 2.69729 0.125785 0.920249 0.745916 0.126762 0.392067 1.6 0.3 0.925 2.20961 0.404807 0.993789 0.615866 0.25 0.392067 7.6 7.8 515 258 138 28
7.9 1.54792 0.249583 0.385417 2.52454 0.118756 0.240892 0.749907 0.125256 0.241776 1.67813 0.146875 0.41274 2.73806 0.12484 0.557771 0.753126 0.148921 0.174698 1.825 0.25 0.848077 2.72726 0.283079 0.727823 0.865928 0.121693 0.618332 7.8 8 745 382 231 40
8.1 1.41 0.1925 0.26 2.39519 0.100237 0.248316 0.669767 0.09913 0.155895 1.6875 0.2625 0.3625 2.76776 0.142131 0.292278 0.822845 0.143987 0.233181 1.75 0.5 0.35 2.70745 0.293033 0.446633 0.845193 0.195916 0.218269 8 8.2 1017 603 291 57
8.3 1.355 0.139444 0.221667 2.31672 0.0683413 0.177244 0.653427 0.0813171 0.181305 1.56389 0.181944 0.276389 2.62779 0.137423 0.285933 0.755411 0.109661 0.19411 1.5 0.1875 0.275 2.70481 0.284975 0.915865 0.741949 0.221874 0.235933 8.2 8.4 1368 842 391 70
8.5 1.30833 0.152667 0.236111 2.26219 0.116277 0.189468 0.598231 0.0997592 0.132944 1.51667 0.178333 0.302604 2.67566 0.107004 0.271155 0.689665 0.0875045 0.1662 1.8 0.25 0.375 2.64134 0.202403 0.185857 0.99279 0.144711 0.387098 8.4 8.6 1762 1086 490 74
8.7 1.23125 0.18475 0.217434 2.18319 0.13196 0.200476 0.576686 0.0921228 0.142061 1.5 0.140385 0.235714 2.57291 0.158697 0.286749 0.664235 0.103105 0.145079 1.625 0.275 0.25 2.56322 0.228126 0.299285 0.906252 0.208734 0.361413 8.6 8.8 2279 1269 592 129
8.9 1.16726 0.180595 0.182887 2.12611 0.120977 0.199529 0.554115 0.0623778 0.108719 1.48438 0.185625 0.278341 2.58633 0.146715 0.28373 0.624138 0.0901448 0.151952 1.45 0.2625 0.215 2.50456 0.278047 0.268873 0.58037 0.142352 0.15609 8.8 9 2858 1391 743 139
9.1 1.13663 0.122243 0.231628 2.071 0.123281 0.267586 0.513877 0.0671299 0.138434 1.28152 0.180978 0.211067 2.33098 0.155753 0.241416 0.566464 0.10783 0.157243 1.45 0.225 0.3375 2.59928 0.154807 0.439907 0.639004 0.144172 0.139712 9 9.2 3344 1209 829 127
