#Observed stellar masses in Msun
#Infall delay times in Gyr.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.668185.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#SM Median_Infall_Delay_Time(MW) Err+ Err- +1_sigma_Infall_Delay_Time(MW) Err+ Err- -1_sigma_Infall_Delay_Time(MW) Err+ Err- Median_Infall_Delay_Time(GR) Err+ Err- +1_sigma_Infall_Delay_Time(GR) Err+ Err- -1_sigma_Infall_Delay_Time(GR) Err+ Err- Median_Infall_Delay_Time(CL) Err+ Err- +1_sigma_Infall_Delay_Time(CL) Err+ Err- -1_sigma_Infall_Delay_Time(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 2.35218 0.200425 0.166613 4.18287 0.103655 0.0868926 0.74343 0.0665482 0.0511869 2.80425 0.17719 0.171273 4.54581 0.0820961 0.067719 0.827013 0.051228 0.0606415 2.91135 0.114313 0.107189 4.58018 0.07828 0.0775952 0.904701 0.0321105 0.02643 7.2 7.4 608107 19720 17223 12333
7.5 2.42752 0.154319 0.134531 4.21019 0.11155 0.0856256 0.766752 0.06886 0.0471169 2.90227 0.195778 0.148518 4.61785 0.102815 0.0751572 0.843649 0.0465816 0.0364159 3.08812 0.0443032 0.0613728 4.71408 0.0470223 0.0423117 0.959147 0.0156277 0.0248562 7.4 7.6 507921 18167 15549 10847
7.7 2.45528 0.215908 0.14748 4.30477 0.32115 0.173593 0.812177 0.0948235 0.069132 3.08933 0.189196 0.154989 4.7525 0.164726 0.133169 0.874643 0.0747874 0.0417678 3.21089 0.093091 0.0851254 4.8867 0.0788164 0.0888019 0.984493 0.0317148 0.0248027 7.6 7.8 419192 16030 13995 9681
7.9 2.655 0.53211 0.250885 4.99221 0.986668 0.598918 0.879166 0.202147 0.0825585 3.3003 0.329165 0.190176 5.20168 0.619964 0.343567 0.971909 0.127728 0.0702987 3.50713 0.135365 0.12548 5.28463 0.203084 0.204481 1.09668 0.0569566 0.0525723 7.8 8 349215 14939 12278 8856
8.1 3.04534 0.671518 0.352008 5.94776 0.509088 0.506136 1.05973 0.246708 0.147801 3.60968 0.398417 0.272619 6.15866 0.702508 0.685236 1.091 0.190966 0.0962503 3.85894 0.180131 0.141294 6.02029 0.37273 0.346161 1.28788 0.10008 0.0720317 8 8.2 294482 14838 11855 8562
8.3 3.27626 0.61266 0.344422 6.17095 0.270913 0.307688 1.1577 0.273286 0.146232 3.82965 0.325558 0.219993 6.64108 0.332428 0.365034 1.21425 0.17598 0.100746 4.01915 0.11945 0.0901034 6.37872 0.217425 0.233421 1.36961 0.0697993 0.0573896 8.2 8.4 247475 14624 11104 7906
8.5 3.26305 0.529855 0.324463 6.05531 0.222466 0.232945 1.1443 0.216569 0.13155 3.79466 0.278813 0.196949 6.65684 0.249732 0.345312 1.26503 0.158851 0.0961493 4.07655 0.0936165 0.087678 6.41565 0.220237 0.2259 1.41877 0.0747678 0.0485083 8.4 8.6 202340 13214 9882 6856
8.7 3.12625 0.496621 0.301169 5.82391 0.28113 0.235574 1.09317 0.20327 0.117808 3.74418 0.245318 0.198333 6.55391 0.247461 0.371713 1.22545 0.142086 0.0911976 4.07827 0.0925574 0.0736742 6.33153 0.160184 0.153465 1.40672 0.0422621 0.0365113 8.6 8.8 162121 11599 8342 5816
8.9 3.04904 0.466725 0.306211 5.67913 0.252933 0.244514 1.05757 0.213151 0.119896 3.6396 0.277555 0.204451 6.45467 0.239402 0.347438 1.19392 0.146457 0.0960016 4.05258 0.0845227 0.0814774 6.30708 0.192657 0.189656 1.39258 0.0497146 0.0506738 8.8 9 129665 9837 6953 4912
9.1 2.95297 0.439472 0.308452 5.44123 0.27281 0.230023 1.02364 0.168036 0.108647 3.63824 0.261641 0.187315 6.40694 0.267299 0.337905 1.2463 0.140832 0.0863205 4.09484 0.0833855 0.0778599 6.2813 0.199088 0.162169 1.47181 0.0533878 0.0477786 9 9.2 105535 8202 5927 3962
