#Observed stellar masses in Msun
#Quenching delay times in Gyr.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.354310.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of quenched(all)/quenched after infall(sats) galaxies in the bin for the bestfit model.
#SM Median_Quenching_Delay_Time(MW) Err+ Err- +1_sigma_Quenching_Delay_Time(MW) Err+ Err- -1_sigma_Quenching_Delay_Time(MW) Err+ Err- Median_Quenching_Delay_Time(GR) Err+ Err- +1_sigma_Quenching_Delay_Time(GR) Err+ Err- -1_sigma_Quenching_Delay_Time(GR) Err+ Err- Median_Quenching_Delay_Time(CL) Err+ Err- +1_sigma_Quenching_Delay_Time(CL) Err+ Err- -1_sigma_Quenching_Delay_Time(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.7875 0.304167 0.153677 1.43582 0.546073 0.303524 0.290367 0.247977 0.0867426 0.7625 0.425 0.1375 1.24375 0.834134 0.19207 0.221395 0.226924 0.107933 0.775 0.5 0.775 1.21827 0.123798 1.21827 0.473798 0.457933 0.473798 7.2 7.4 220 61 23 5
7.5 0.898913 0.388587 0.223913 1.69326 0.435632 0.536291 0.36797 0.218714 0.208593 1.04286 0.332143 0.330357 1.86827 0.462739 0.663462 0.377081 0.330213 0.27424 0.6 0.675 0.6 0.877401 0.740868 0.877401 0.0817311 0.534135 0.0817311 7.4 7.6 211 114 40 3
7.7 1.05 0.293182 0.38 1.93773 0.198562 0.651917 0.432134 0.203445 0.288588 1.2375 0.3225 0.3375 2.15257 0.24358 0.731899 0.68726 0.154571 0.314664 0.625 0.9 0.625 0.922937 0.821534 0.922937 0.150092 0.781639 0.150092 7.6 7.8 296 161 78 3
7.9 1.1 0.258333 0.35 2.00331 0.175528 0.385768 0.489428 0.148164 0.344235 1.275 0.32 0.4875 2.22163 0.214465 0.803362 0.59916 0.116203 0.461899 0.975 0.7875 0.975 1.53413 0.972235 1.53413 0.607933 0.565866 0.607933 7.8 8 424 251 104 5
8.1 1.21667 0.141667 0.266667 2.03161 0.109063 0.308536 0.573599 0.129781 0.173502 1.525 0.2875 0.475 2.41354 0.172517 0.387463 0.678128 0.127538 0.278507 1.4 0.675 1.03889 2.09207 0.446874 1.20697 0.83726 0.686538 0.738671 8 8.2 617 366 177 15
8.3 1.16513 0.162646 0.300846 2.02725 0.0767722 0.235908 0.559227 0.0849168 0.135062 1.32222 0.202778 0.276389 2.29435 0.134375 0.371154 0.54568 0.152639 0.149285 1.4 0.65 1.01875 2.50361 0.406731 1.91154 0.522597 0.185336 0.418561 8.2 8.4 856 634 227 19
8.5 1.15769 0.12915 0.220391 1.92022 0.118935 0.185077 0.570724 0.0765679 0.18518 1.40357 0.102198 0.325446 2.20658 0.142601 0.385907 0.663704 0.0869399 0.228847 1.2 0.35 0.325 2.04808 0.477764 0.906009 0.763462 0.194471 0.470672 8.4 8.6 1242 806 307 25
8.7 1.03958 0.124583 0.152819 1.8718 0.106306 0.157743 0.526926 0.0574319 0.123782 1.2875 0.1625 0.266204 2.17824 0.101852 0.158293 0.578848 0.133011 0.164607 1.1125 0.1125 0.3 2.39928 0.382092 1.00481 0.603608 0.0836529 0.239423 8.6 8.8 1681 930 407 33
8.9 0.969118 0.122549 0.132021 1.81049 0.101372 0.182925 0.480688 0.0761983 0.121124 1.225 0.194444 0.235417 2.13154 0.126033 0.258332 0.583634 0.123679 0.216443 1.4625 0.3375 0.2875 2.04844 0.432571 0.220314 0.576924 0.245193 0.156488 8.8 9 1991 986 514 38
9.1 0.957447 0.12123 0.167741 1.77499 0.10551 0.193826 0.459711 0.0795403 0.121682 1.15 0.143182 0.198529 2.06434 0.103206 0.198136 0.456994 0.0755028 0.104875 1.1125 0.2625 0.1875 1.9655 0.13858 0.456933 0.757092 0.103966 0.399238 9 9.2 2448 919 603 45
9.3 0.944737 0.124708 0.162737 1.77657 0.132808 0.200141 0.445993 0.0783997 0.123848 1.02396 0.119792 0.18378 1.9594 0.116702 0.199603 0.438465 0.0804605 0.148089 1.0875 0.3125 0.3375 2.12031 0.142428 0.53137 0.243991 0.172597 0.130529 9.2 9.4 2902 744 732 34
9.5 0.922917 0.152083 0.165308 1.67637 0.211006 0.181246 0.426565 0.109034 0.127066 0.925 0.125 0.164516 1.86399 0.131786 0.291327 0.377371 0.0850678 0.113405 1.025 0.225 0.1875 1.88702 0.243269 0.293991 0.457454 0.143269 0.130168 9.4 9.6 3214 536 753 52
9.7 0.956818 0.132765 0.22661 1.64264 0.173764 0.218387 0.433592 0.0977797 0.105644 0.846667 0.108768 0.155 1.71565 0.132475 0.248667 0.361441 0.0694787 0.120925 1.125 0.375 0.225 1.95601 0.234135 0.483655 0.562622 0.117428 0.319832 9.6 9.8 3542 378 766 36
9.9 0.915 0.193333 0.148333 1.57932 0.274998 0.205409 0.405637 0.0527192 0.101669 0.76 0.115 0.124815 1.55045 0.176705 0.226493 0.267608 0.0793068 0.0549038 0.9875 0.6625 0.3375 2.13101 0.176202 0.655529 0.284857 0.284134 0.0841345 9.8 10 3784 213 754 31
10.1 0.99 0.193333 0.181667 1.60312 0.124273 0.133055 0.394073 0.115208 0.135535 0.69375 0.0975962 0.115372 1.43919 0.196609 0.254632 0.238389 0.0379808 0.0932178 0.975 0.325 0.4625 1.79062 0.119352 0.552404 0.365025 0.162622 0.21358 10 10.2 4027 103 748 37
10.3 1.07 0.13 0.286667 1.65817 0.175243 0.248916 0.4867 0.106812 0.218334 0.58631 0.102327 0.0956233 1.26524 0.191727 0.240591 0.166232 0.0726401 0.0359735 0.641667 0.258333 0.216667 1.48029 0.257933 0.331009 0.209857 0.101202 0.0930293 10.2 10.4 4365 61 683 37
10.5 0.95 0.15 0.15 1.42548 0.260336 0.183773 0.263823 0.266227 0.0758404 0.520395 0.064088 0.0720614 1.11639 0.193455 0.180961 0.14268 0.0725994 0.0166809 0.55 0.125 0.1375 1.16514 0.588941 0.392067 0.123378 0.114605 0.0348475 10.4 10.6 4483 28 583 32
10.7 0.891667 0.120833 0.0666667 1.28894 0.107933 0.113462 0.368991 0.190504 0.107933 0.544767 0.0527325 0.0617675 1.11773 0.154229 0.174158 0.137056 0.049575 0.0162622 0.4125 0.1 0.0791667 0.838219 0.542067 0.28858 0.106571 0.033815 0.0169075 10.6 10.8 4150 14 482 35
10.9 0.7875 0.3875 0.0625 1.51034 0.0500001 0.3 0.297597 0.484134 0.05 0.475 0.05 0.0458333 1.04094 0.1864 0.164683 0.126621 0.0155247 0.0125177 0.55 0.2 0.1125 1.14134 0.107933 0.207572 0.14279 0.0841345 0.023238 10.8 11 3048 7 309 19
11.1 1.725 0.125 0.525 1.74207 0.142067 0.507933 1.5738 0.184135 0.665866 0.472222 0.0715277 0.0597222 1.12211 0.101013 0.13774 0.121716 0.0199618 0.0193711 0.525 0.075 0.1125 1.10721 0.11226 0.360336 0.158655 0.0968741 0.033294 11 11.2 1703 1 129 20
11.3 0 0 0 0 0 0 0 0 0 0.50625 0.04375 0.05625 1.26682 0.188941 0.224277 0.12484 0.0145434 0.0117787 1.1 0.025 0.475 1.74447 0.234134 0.126202 0.129328 0.223437 0.0436302 11.2 11.4 765 0 68 7
11.5 0 0 0 0 0 0 0 0 0 0.6875 0.2375 0.0375 1.33894 0.273798 0.215866 0.235697 0.0368991 0.142067 0.25 0.875 0.125 0.284134 1.35 0.142067 0.115866 0.242067 0.00793277 11.4 11.6 210 0 12 1
