#Observed stellar masses in Msun
#Quenching delay times in Gyr.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.880810.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of quenched(all)/quenched after infall(sats) galaxies in the bin for the bestfit model.
#SM Median_Quenching_Delay_Time(MW) Err+ Err- +1_sigma_Quenching_Delay_Time(MW) Err+ Err- -1_sigma_Quenching_Delay_Time(MW) Err+ Err- Median_Quenching_Delay_Time(GR) Err+ Err- +1_sigma_Quenching_Delay_Time(GR) Err+ Err- -1_sigma_Quenching_Delay_Time(GR) Err+ Err- Median_Quenching_Delay_Time(CL) Err+ Err- +1_sigma_Quenching_Delay_Time(CL) Err+ Err- -1_sigma_Quenching_Delay_Time(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 3.57143 0.458259 0.568304 5.88196 0.368749 0.507754 1.62271 0.307231 0.293227 4.1875 0.4675 0.558929 6.2456 0.319381 0.504401 1.94579 0.326833 0.295637 4.11111 0.415972 0.650397 6.26381 0.340876 0.480994 1.8126 0.229986 0.276857 7.2 7.4 8160 1328 1609 1699
7.5 3.4375 0.4025 0.4 5.78662 0.330088 0.47127 1.5782 0.241424 0.261901 4.14861 0.516774 0.576389 6.32739 0.310003 0.531549 1.83217 0.374595 0.288063 4.19167 0.474074 0.632576 6.39599 0.262418 0.380267 1.84022 0.318563 0.274054 7.4 7.6 9203 1554 1863 2012
7.7 3.275 0.432143 0.425 5.7123 0.269237 0.433062 1.451 0.23797 0.256484 4.027 0.470222 0.569187 6.24099 0.280698 0.471185 1.72029 0.349524 0.261629 4.24375 0.462132 0.640372 6.39453 0.31775 0.443172 1.86739 0.309253 0.315966 7.6 7.8 9812 1872 2125 2198
7.9 3.19688 0.593125 0.455966 5.55505 0.478878 0.403301 1.45022 0.255813 0.287052 3.92115 0.549038 0.516467 6.22717 0.430946 0.440765 1.75984 0.328927 0.286546 4.23289 0.489605 0.63001 6.47538 0.308263 0.447526 1.76754 0.321466 0.255692 7.8 8 10853 2087 2463 2572
8.1 3.45926 0.865046 0.539259 6.01531 0.88934 0.637031 1.48621 0.410485 0.290996 4.22031 0.668437 0.635085 6.51724 0.77957 0.524747 1.85423 0.493273 0.365149 4.30125 0.526528 0.50125 6.70567 0.486461 0.400966 1.84367 0.373709 0.280213 8 8.2 12592 2560 2988 3001
8.3 3.81346 0.706038 0.700129 6.70855 0.638969 0.781206 1.55778 0.395401 0.336689 4.4475 0.60875 0.575278 7.12768 0.688118 0.64623 1.92389 0.453193 0.376004 4.48167 0.507619 0.553257 7.03882 0.524676 0.42411 1.9506 0.415241 0.373097 8.2 8.4 15094 3251 3670 3872
8.5 3.776 0.498359 0.572698 6.61339 0.457721 0.590773 1.49121 0.318249 0.251211 4.29787 0.565878 0.560372 7.11789 0.56158 0.626399 1.72186 0.355502 0.260777 4.30078 0.448461 0.432924 6.98269 0.432574 0.433706 1.8109 0.347296 0.273103 8.4 8.6 16240 3725 3960 4161
8.7 3.33083 0.495833 0.436637 6.22791 0.462931 0.483443 1.34852 0.219674 0.214345 3.92727 0.475568 0.529479 6.81224 0.444668 0.547726 1.59002 0.250608 0.259153 4.01 0.503 0.418974 6.8376 0.381657 0.476006 1.59307 0.323822 0.187069 8.6 8.8 16670 3744 3880 4030
8.9 2.9275 0.460544 0.392778 5.73881 0.430196 0.403204 1.20382 0.202978 0.215052 3.58571 0.425223 0.520714 6.4003 0.457207 0.531555 1.37035 0.216673 0.212243 3.66613 0.451113 0.389102 6.41238 0.391593 0.394351 1.43491 0.249377 0.223048 8.8 9 16532 3754 3515 3736
9.1 2.65571 0.377796 0.363323 5.39925 0.368909 0.410588 1.05023 0.180897 0.208488 3.26466 0.36489 0.431798 6.07467 0.392418 0.458081 1.23908 0.192693 0.198046 3.38812 0.372813 0.441573 6.1447 0.339279 0.437978 1.3125 0.18471 0.231669 9 9.2 15934 3554 3229 3422
9.3 2.36346 0.304039 0.288461 4.94915 0.326852 0.437232 0.942771 0.151934 0.184493 2.80263 0.357368 0.354376 5.64279 0.361988 0.516743 1.06682 0.161004 0.158303 3.08026 0.391033 0.407437 5.81424 0.330438 0.445368 1.15843 0.164267 0.168679 9.2 9.4 15790 3039 2909 3131
9.5 2.06786 0.305143 0.220982 4.52865 0.316445 0.329729 0.80385 0.135446 0.167339 2.55625 0.308173 0.319153 5.26761 0.426958 0.416968 0.860554 0.199106 0.149949 2.73333 0.297436 0.356667 5.47137 0.325713 0.447697 1.00348 0.143429 0.157185 9.4 9.6 15686 2635 2653 2855
9.7 1.94145 0.24671 0.195354 4.26311 0.291198 0.339199 0.654364 0.173569 0.128469 2.1869 0.221184 0.247321 4.80171 0.303246 0.377545 0.67711 0.125864 0.132353 2.439 0.2735 0.29525 5.15038 0.281774 0.387996 0.844113 0.129426 0.142041 9.6 9.8 16450 2031 2427 2599
9.9 1.78462 0.187885 0.141758 3.96839 0.280629 0.29811 0.579573 0.142192 0.102734 1.82713 0.148765 0.140628 4.22365 0.238217 0.298402 0.541669 0.0848257 0.0782509 2.06522 0.221032 0.228343 4.60468 0.303737 0.275609 0.647394 0.0813391 0.148939 9.8 10 16803 1416 2231 2376
10.1 1.86607 0.158929 0.189405 3.91162 0.185603 0.258479 0.647559 0.130729 0.150511 1.57989 0.0831769 0.101821 3.70118 0.203616 0.269428 0.421802 0.059147 0.0585078 1.74242 0.163636 0.159816 4.06515 0.230639 0.341193 0.496996 0.0760901 0.0360789 10 10.2 17938 895 2081 2177
10.3 1.74722 0.170635 0.0944443 3.76033 0.177345 0.196526 0.499375 0.110128 0.0491666 1.35833 0.0645833 0.0467592 3.16874 0.197626 0.226883 0.312414 0.0397083 0.0628028 1.48056 0.101263 0.120556 3.73541 0.144868 0.330587 0.423794 0.0367116 0.0507411 10.2 10.4 19572 442 1934 1963
10.5 1.54167 0.143333 0.075 3.83195 0.182065 0.199749 0.331973 0.0798914 0.0211136 1.09537 0.0615741 0.0310847 2.64524 0.0985234 0.139214 0.238712 0.00857943 0.00954537 1.32586 0.0723522 0.0851477 3.18761 0.238057 0.186823 0.307575 0.0153645 0.0586126 10.4 10.6 20202 168 1687 1519
10.7 1.31667 0.258333 0.104167 3.63978 0.631126 0.321999 0.3113 0.0901455 0.0703529 1.04333 0.0299622 0.0605555 2.24341 0.118386 0.0917828 0.225664 0.00732081 0.00758883 1.14219 0.0512336 0.0645089 2.83961 0.0983617 0.147974 0.243311 0.00821218 0.00869888 10.6 10.8 19360 66 1302 1144
10.9 1.475 0.25 0.241667 3.89928 1.3 0.997597 0.575361 0.136899 0.274639 0.968421 0.0265789 0.0350878 2.11272 0.104337 0.119403 0.212487 0.00753327 0.00753412 0.946429 0.0355714 0.060065 2.30612 0.0956357 0.171439 0.21261 0.00846288 0.0110918 10.8 11 14848 19 634 650
11.1 1.9625 0.3125 0.4875 2.38654 1.56587 0.118269 0.747597 0.0341344 0.315866 0.95 0.0375 0.0541667 2.17487 0.155765 0.20637 0.207989 0.0120341 0.0150965 0.846154 0.0663462 0.0274038 2.07926 0.169279 0.142409 0.201952 0.0113526 0.0227132 11 11.2 8949 4 198 279
11.3 0 0 0 0 0 0 0 0 0 0.975 0.1 0.25 1.92308 0.0896637 0.273798 0.14916 0.0649034 0.021675 0.7 0.035 0.0916666 1.72632 0.253244 0.0460926 0.177406 0.0334464 0.0430699 11.2 11.4 4302 0 21 68
11.5 0 0 0 0 0 0 0 0 0 0.275 0.1375 0.15 0.342067 0.492067 0.2 0.115866 0.00793276 0.00793277 0.625 0.175 0.25 1.27861 0.252403 0.25 0.0975966 0.0789664 0.0174521 11.4 11.6 1723 0 2 9
11.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.375 0.1 0.25 0.476202 0.0158655 0.334134 0.115866 0.342067 0.00793277 11.6 11.8 564 0 0 1
11.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11.8 12 123 0 0 0
12.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 12.2 20 0 0 0
12.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.2 12.4 2 0 0 0
12.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0
