#Observed stellar masses in Msun
#Quenching delay times in Gyr.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.933967.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of quenched(all)/quenched after infall(sats) galaxies in the bin for the bestfit model.
#SM Median_Quenching_Delay_Time(MW) Err+ Err- +1_sigma_Quenching_Delay_Time(MW) Err+ Err- -1_sigma_Quenching_Delay_Time(MW) Err+ Err- Median_Quenching_Delay_Time(GR) Err+ Err- +1_sigma_Quenching_Delay_Time(GR) Err+ Err- -1_sigma_Quenching_Delay_Time(GR) Err+ Err- Median_Quenching_Delay_Time(CL) Err+ Err- +1_sigma_Quenching_Delay_Time(CL) Err+ Err- -1_sigma_Quenching_Delay_Time(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 3.8625 0.46875 0.6625 6.24689 0.317764 0.489354 1.68717 0.29136 0.342321 4.41 0.583519 0.770714 6.6672 0.352911 0.54807 1.98267 0.423599 0.38787 4.43571 0.484286 0.760714 6.72946 0.314912 0.530362 2.01583 0.243139 0.338578 7.2 7.4 9968 1528 1881 2006
7.5 3.78194 0.45377 0.544444 6.27369 0.308042 0.493519 1.6555 0.27661 0.357258 4.49286 0.5375 0.692857 6.74571 0.315236 0.550211 2.0106 0.349628 0.354316 4.54808 0.421923 0.819952 6.81009 0.238823 0.542027 1.92554 0.276084 0.333485 7.4 7.6 10614 1807 2154 2385
7.7 3.595 0.41 0.515 6.12465 0.326058 0.434764 1.59049 0.230718 0.323235 4.37083 0.549702 0.668981 6.7574 0.357156 0.508793 1.85287 0.35638 0.296013 4.56607 0.412054 0.750447 6.84222 0.261548 0.531654 1.91839 0.276593 0.362845 7.6 7.8 11748 2063 2478 2633
7.9 3.43235 0.474591 0.491728 5.99871 0.360743 0.471941 1.49415 0.24184 0.299608 4.29063 0.51116 0.655398 6.74621 0.320815 0.526614 1.83901 0.32679 0.292159 4.54048 0.445393 0.691792 6.91461 0.246853 0.484143 1.93243 0.314436 0.319304 7.8 8 12746 2368 2764 3028
8.1 3.46607 0.694345 0.500446 6.13326 0.700695 0.576605 1.46153 0.347914 0.370239 4.38382 0.583112 0.703824 6.81159 0.569973 0.486444 1.90941 0.431062 0.364548 4.38846 0.565242 0.581109 6.91703 0.463406 0.482335 1.8376 0.438907 0.311127 8 8.2 14287 2621 3301 3416
8.3 3.76597 0.795566 0.620004 6.71775 0.764404 0.780406 1.58898 0.368412 0.34641 4.58917 0.628333 0.591167 7.27639 0.75808 0.640562 1.95435 0.508325 0.344558 4.67188 0.518125 0.604375 7.27736 0.532903 0.456129 1.96479 0.461846 0.355324 8.2 8.4 16340 3309 3975 4131
8.5 3.86739 0.626575 0.631521 6.8803 0.571808 0.599536 1.5061 0.337556 0.257471 4.54571 0.562619 0.579335 7.46183 0.565965 0.574078 1.83056 0.332521 0.269889 4.57604 0.479603 0.572365 7.35523 0.444677 0.522408 1.94106 0.377422 0.332273 8.4 8.6 17799 3839 4333 4620
8.7 3.51429 0.49914 0.521497 6.57386 0.483101 0.586916 1.43553 0.248797 0.243073 4.15323 0.531893 0.536559 7.20527 0.539581 0.571558 1.60453 0.282573 0.253213 4.20673 0.469131 0.422207 7.11568 0.395222 0.435018 1.68149 0.311929 0.244543 8.6 8.8 18343 3908 4237 4528
8.9 3.10372 0.468826 0.393307 6.09763 0.397338 0.435166 1.27213 0.184127 0.220945 3.8303 0.514697 0.535303 6.89593 0.410156 0.540277 1.46936 0.246416 0.250667 3.92 0.498333 0.460714 6.88114 0.385362 0.523765 1.51043 0.236874 0.207946 8.8 9 17556 3794 3818 4198
9.1 2.72045 0.427983 0.368035 5.63201 0.369609 0.456516 1.07588 0.191679 0.233457 3.38382 0.375343 0.40991 6.3867 0.318538 0.461887 1.2639 0.205272 0.205358 3.54844 0.412812 0.451116 6.45953 0.411042 0.426939 1.32152 0.233496 0.206094 9 9.2 17253 3563 3416 3768
9.3 2.45977 0.302303 0.303148 5.21723 0.265853 0.447873 0.95418 0.147458 0.209458 3.05263 0.305433 0.398928 6.00567 0.39978 0.447628 1.1702 0.136643 0.207617 3.19167 0.359375 0.393841 6.09348 0.276723 0.46614 1.17623 0.155509 0.183674 9.2 9.4 16657 3151 3104 3387
9.5 2.12969 0.262535 0.207813 4.73044 0.341445 0.350786 0.807148 0.12609 0.153061 2.67833 0.310238 0.336288 5.63829 0.389639 0.544827 0.950524 0.144782 0.169136 2.83889 0.303111 0.300252 5.7403 0.343084 0.411529 1.05388 0.114824 0.139649 9.4 9.6 16625 2621 2692 3010
