#Observed stellar masses in Msun
#Quenching delay times in Gyr.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.561872.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of quenched(all)/quenched after infall(sats) galaxies in the bin for the bestfit model.
#SM Median_Quenching_Delay_Time(MW) Err+ Err- +1_sigma_Quenching_Delay_Time(MW) Err+ Err- -1_sigma_Quenching_Delay_Time(MW) Err+ Err- Median_Quenching_Delay_Time(GR) Err+ Err- +1_sigma_Quenching_Delay_Time(GR) Err+ Err- -1_sigma_Quenching_Delay_Time(GR) Err+ Err- Median_Quenching_Delay_Time(CL) Err+ Err- +1_sigma_Quenching_Delay_Time(CL) Err+ Err- -1_sigma_Quenching_Delay_Time(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 1.88 0.298333 0.26 3.093 0.343438 0.332637 0.961504 0.177805 0.258288 2.10833 0.20625 0.333333 3.23725 0.236907 0.257122 0.996951 0.119918 0.276153 2.225 0.2625 0.2125 3.38541 0.330571 0.217394 1.03702 0.161059 0.176919 7.2 7.4 1094 349 279 165
7.5 2.29286 0.472421 0.42555 3.71063 0.640802 0.58542 1.12198 0.258759 0.26418 2.25417 0.379167 0.357738 3.6299 0.58402 0.468192 1.05145 0.180944 0.262183 2.34375 0.30625 0.25625 3.58918 0.397958 0.269592 1.0494 0.188643 0.151382 7.4 7.6 1536 514 422 271
7.7 2.71538 0.506837 0.665385 4.3407 0.274065 0.573345 1.23879 0.336538 0.319975 2.63125 0.539583 0.434375 4.51079 0.338856 0.801812 1.23474 0.352005 0.253879 2.78 0.32625 0.4425 4.33969 0.406212 0.542343 1.369 0.223437 0.330835 7.6 7.8 2192 833 619 452
7.9 2.82885 0.45979 0.58102 4.40863 0.267054 0.395417 1.27076 0.322054 0.308712 2.9869 0.470238 0.535292 4.78066 0.238699 0.499224 1.40282 0.273696 0.308614 2.95294 0.247059 0.375441 4.65583 0.269648 0.410827 1.50248 0.221717 0.317105 7.8 8 3083 1337 953 644
8.1 2.7 0.366667 0.5375 4.31958 0.194324 0.344024 1.14619 0.251038 0.255319 2.915 0.3975 0.451957 4.63555 0.24837 0.369618 1.33397 0.264718 0.307459 2.90714 0.25055 0.269643 4.65882 0.187144 0.308468 1.40758 0.143325 0.254406 8 8.2 3959 1750 1183 885
8.3 2.51689 0.308108 0.412053 4.15974 0.186716 0.322993 1.11173 0.236933 0.2414 2.68984 0.36597 0.394844 4.53201 0.275457 0.329607 1.15504 0.288325 0.258481 2.875 0.21875 0.358928 4.57495 0.214287 0.343545 1.36024 0.221039 0.275293 8.2 8.4 4814 2012 1470 951
8.5 2.26071 0.339807 0.380853 3.94725 0.186161 0.289419 0.99205 0.20916 0.209429 2.56552 0.325554 0.393851 4.36048 0.26251 0.351973 1.14184 0.233988 0.265142 2.76154 0.235337 0.346833 4.36797 0.25881 0.33924 1.28378 0.146367 0.214672 8.4 8.6 5601 2463 1666 1032
8.7 2.0625 0.323214 0.332341 3.72052 0.214344 0.324194 0.895542 0.140757 0.150637 2.36515 0.318848 0.366818 4.22039 0.288935 0.488117 1.05758 0.177705 0.222948 2.53571 0.201786 0.330714 4.09558 0.237057 0.351352 1.10607 0.161001 0.192691 8.6 8.8 6177 2555 1695 1064
8.9 1.88275 0.298206 0.322746 3.47191 0.275861 0.32479 0.81802 0.137607 0.183923 2.19318 0.330256 0.371066 3.96307 0.316186 0.423069 0.955191 0.130816 0.226178 2.38971 0.22458 0.310294 4.15858 0.216658 0.494617 1.0275 0.133685 0.196503 8.8 9 6700 2595 1817 1108
9.1 1.73537 0.259983 0.28405 3.30169 0.239446 0.303003 0.742823 0.122104 0.14313 2.03561 0.288352 0.346132 3.78063 0.261925 0.434098 0.847145 0.124193 0.179392 2.1875 0.228125 0.3625 3.89338 0.217257 0.401597 0.949754 0.136309 0.190455 9 9.2 7004 2440 1853 1065
9.3 1.61277 0.226123 0.272672 3.15887 0.243611 0.327827 0.690962 0.123014 0.19249 1.85585 0.28868 0.344422 3.62447 0.285458 0.387807 0.777083 0.115679 0.199461 1.975 0.25 0.294737 3.70852 0.271309 0.412416 0.78412 0.129181 0.15597 9.2 9.4 7249 2232 1806 1087
