#Observed stellar masses in Msun
#Quenching delay times in Gyr.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.582123.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of quenched(all)/quenched after infall(sats) galaxies in the bin for the bestfit model.
#SM Median_Quenching_Delay_Time(MW) Err+ Err- +1_sigma_Quenching_Delay_Time(MW) Err+ Err- -1_sigma_Quenching_Delay_Time(MW) Err+ Err- Median_Quenching_Delay_Time(GR) Err+ Err- +1_sigma_Quenching_Delay_Time(GR) Err+ Err- -1_sigma_Quenching_Delay_Time(GR) Err+ Err- Median_Quenching_Delay_Time(CL) Err+ Err- +1_sigma_Quenching_Delay_Time(CL) Err+ Err- -1_sigma_Quenching_Delay_Time(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 2.025 0.213636 0.219737 3.28721 0.310982 0.300595 1.03263 0.137036 0.203937 2.13333 0.245833 0.258333 3.35053 0.311 0.249661 1.02778 0.136414 0.280054 2.2 0.2125 0.2625 3.39172 0.194215 0.175086 0.92717 0.0759706 0.245917 7.2 7.4 1247 403 313 236
7.5 2.26447 0.463651 0.410163 3.76935 0.504404 0.58999 1.09215 0.310125 0.255481 2.39167 0.286905 0.358333 3.7804 0.320628 0.504758 1.13158 0.197822 0.218591 2.475 0.208333 0.285 3.73573 0.360167 0.291851 1.16643 0.147996 0.329849 7.4 7.6 1618 567 457 292
7.7 2.75833 0.661667 0.646491 4.44839 0.392804 0.703415 1.28107 0.381874 0.352967 2.81 0.52 0.502045 4.53104 0.563278 0.754842 1.42433 0.29645 0.30053 2.82917 0.345833 0.320833 4.44697 0.456929 0.594902 1.41371 0.214543 0.279373 7.6 7.8 2367 848 669 509
7.9 2.99531 0.473438 0.642312 4.64101 0.261303 0.390313 1.30382 0.356093 0.316029 3.12857 0.512053 0.60702 4.89849 0.374796 0.470435 1.42882 0.307129 0.26857 3.025 0.275 0.369643 4.74222 0.267059 0.388444 1.45436 0.222152 0.277461 7.8 8 3442 1405 1017 753
8.1 2.89286 0.370337 0.514286 4.54241 0.230372 0.317585 1.25491 0.280736 0.267794 3.04271 0.399884 0.545833 4.89262 0.296537 0.43379 1.32901 0.31606 0.314158 3.11875 0.247917 0.347322 4.86258 0.276109 0.330031 1.54331 0.204116 0.312568 8 8.2 4434 1845 1343 1012
8.3 2.58723 0.35892 0.432395 4.35405 0.231717 0.318696 1.13285 0.249574 0.233368 2.83875 0.364659 0.45944 4.75378 0.274355 0.393013 1.24759 0.280306 0.29244 3.00179 0.260714 0.366492 4.76783 0.210474 0.310464 1.42202 0.199693 0.258745 8.2 8.4 5270 2158 1584 1074
8.5 2.41667 0.319445 0.429504 4.11189 0.227562 0.319605 0.996468 0.213573 0.17178 2.655 0.365455 0.387432 4.54374 0.268756 0.400011 1.18534 0.207778 0.246168 2.82262 0.284524 0.333619 4.59259 0.239857 0.375629 1.32882 0.166343 0.241944 8.4 8.6 5957 2494 1760 1210
8.7 2.1372 0.34321 0.357023 3.94027 0.233851 0.349737 0.926636 0.162065 0.164527 2.4725 0.328194 0.351177 4.38089 0.363383 0.389328 1.09524 0.181111 0.208984 2.70227 0.15606 0.404654 4.31712 0.259319 0.316855 1.17972 0.151464 0.239927 8.6 8.8 6720 2708 1888 1178
8.9 1.9602 0.298129 0.325561 3.64399 0.269593 0.362118 0.83413 0.137321 0.158624 2.30234 0.316205 0.35401 4.07796 0.363976 0.345561 0.984522 0.153318 0.222732 2.53333 0.22 0.373333 4.27385 0.222341 0.367692 1.08165 0.133139 0.201335 8.8 9 7215 2696 1953 1247
9.1 1.76468 0.294557 0.282446 3.37598 0.30398 0.326899 0.766234 0.127001 0.18483 2.10481 0.317335 0.358974 3.91517 0.285059 0.424922 0.865787 0.144495 0.18645 2.29231 0.232692 0.338558 4.0069 0.232549 0.341649 1.00496 0.165907 0.178564 9 9.2 7439 2539 1932 1242
