#Observed stellar masses in Msun
#Infall delay times in Gyr.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.721342.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#SM Median_Infall_Delay_Time(MW) Err+ Err- +1_sigma_Infall_Delay_Time(MW) Err+ Err- -1_sigma_Infall_Delay_Time(MW) Err+ Err- Median_Infall_Delay_Time(GR) Err+ Err- +1_sigma_Infall_Delay_Time(GR) Err+ Err- -1_sigma_Infall_Delay_Time(GR) Err+ Err- Median_Infall_Delay_Time(CL) Err+ Err- +1_sigma_Infall_Delay_Time(CL) Err+ Err- -1_sigma_Infall_Delay_Time(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 2.72598 0.193499 0.192357 4.77345 0.108518 0.0803609 0.826889 0.076494 0.0537507 3.25441 0.187776 0.18421 5.15232 0.083982 0.0700827 0.90257 0.050019 0.0384602 3.39512 0.0953884 0.0778584 5.20061 0.0574975 0.0745158 1.00855 0.0381076 0.0211829 7.2 7.4 623170 18833 17391 13809
7.5 2.8244 0.18098 0.156174 4.79169 0.107573 0.0907307 0.908606 0.0744705 0.0708599 3.42803 0.170966 0.143449 5.23444 0.099 0.0746117 0.950636 0.0641987 0.051801 3.56837 0.0505545 0.0559165 5.33848 0.0476093 0.0595245 1.09387 0.0199051 0.0286928 7.4 7.6 526358 17582 15804 12810
7.7 2.81533 0.161509 0.130432 4.78282 0.189734 0.105313 0.922758 0.0757362 0.0594735 3.54246 0.161098 0.134292 5.34265 0.123388 0.103682 1.00287 0.0595312 0.0453714 3.66392 0.0695336 0.0752904 5.48751 0.0539436 0.06599 1.12661 0.0282937 0.0319892 7.6 7.8 438334 15723 14276 11298
7.9 2.88198 0.398366 0.190948 5.13484 0.856788 0.393416 0.95044 0.138912 0.0638505 3.69577 0.280631 0.195094 5.61123 0.375628 0.254763 1.05741 0.109024 0.0691987 3.91386 0.108878 0.106857 5.75054 0.156628 0.16009 1.21976 0.0390987 0.0407162 7.8 8 363757 14528 12560 10037
8.1 3.26962 0.684866 0.375047 6.2852 0.752967 0.754232 1.1135 0.268505 0.147962 4.02229 0.38721 0.26267 6.40655 0.943215 0.546 1.18418 0.196559 0.104058 4.29012 0.171246 0.1569 6.40937 0.326103 0.307639 1.3827 0.0892738 0.0657293 8 8.2 304079 13877 11903 9467
8.3 3.65365 0.666062 0.393184 6.74339 0.423085 0.43678 1.26087 0.312766 0.161107 4.28431 0.402854 0.251081 7.2442 0.474397 0.595472 1.38117 0.218342 0.135621 4.55043 0.143862 0.119517 6.83622 0.280569 0.222346 1.52195 0.0760179 0.0610728 8.2 8.4 256576 13717 11231 9266
8.5 3.64864 0.599374 0.346997 6.75292 0.247192 0.302675 1.27477 0.240972 0.137341 4.32987 0.292932 0.214088 7.39369 0.302392 0.410132 1.42204 0.156398 0.106477 4.6135 0.108413 0.0932465 7.01032 0.266986 0.20438 1.59193 0.0922651 0.0604143 8.4 8.6 211645 12781 9940 7878
8.7 3.51813 0.555934 0.320425 6.49283 0.3033 0.262185 1.25284 0.240179 0.123381 4.30469 0.334378 0.218822 7.18624 0.374663 0.34928 1.3925 0.17011 0.10165 4.67849 0.107584 0.100348 6.96202 0.228353 0.14719 1.65077 0.0742322 0.0571402 8.6 8.8 170044 11229 8689 6938
8.9 3.38125 0.566255 0.351721 6.26627 0.326529 0.328135 1.17319 0.235473 0.123815 4.22612 0.2579 0.205726 7.13009 0.371473 0.443147 1.41502 0.157439 0.10202 4.67144 0.0826931 0.0838299 6.96198 0.192725 0.145163 1.62595 0.0678629 0.0548533 8.8 9 137495 9703 7258 5668
9.1 3.30098 0.557728 0.311312 6.04079 0.344242 0.265856 1.14686 0.220467 0.122151 4.12052 0.271591 0.172846 7.15215 0.289944 0.356863 1.38067 0.129852 0.0891069 4.64704 0.089448 0.0740485 6.89369 0.219257 0.137965 1.66694 0.0521984 0.0513837 9 9.2 110760 8119 6095 4770
9.3 3.3008 0.422366 0.37301 5.90794 0.294044 0.273916 1.14338 0.209702 0.151284 4.09154 0.252804 0.222455 7.09586 0.276273 0.257868 1.37666 0.140949 0.0883482 4.6896 0.0922694 0.0843201 6.97863 0.187287 0.164422 1.66689 0.0636948 0.0560843 9.2 9.4 92044 6799 5258 4136
9.5 3.17014 0.464563 0.312314 5.7487 0.299695 0.296138 1.06988 0.155909 0.115812 3.92571 0.290872 0.220359 6.9708 0.278101 0.316234 1.38947 0.146476 0.110004 4.53791 0.0899739 0.102018 6.75823 0.183394 0.11394 1.61759 0.051662 0.0482014 9.4 9.6 77965 5381 4648 3647
9.7 3.01234 0.380169 0.301737 5.54244 0.30307 0.261773 0.936546 0.1474 0.12628 3.72446 0.365714 0.238043 6.75208 0.216316 0.289074 1.29853 0.181561 0.0921464 4.53548 0.0985694 0.0900044 6.90425 0.139423 0.15981 1.63164 0.0552131 0.0550576 9.6 9.8 67691 4126 4063 3265
9.9 2.92199 0.368181 0.280152 5.40389 0.384757 0.313106 0.903234 0.167121 0.104023 3.66437 0.330405 0.249207 6.41509 0.36719 0.350017 1.30757 0.147284 0.113255 4.54664 0.0951648 0.118379 6.83898 0.15808 0.164282 1.73032 0.0793834 0.0722023 9.8 10 60807 2727 3854 2999
