#Observed stellar masses in Msun
#Infall delay times in Gyr.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.632748.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#SM Median_Infall_Delay_Time(MW) Err+ Err- +1_sigma_Infall_Delay_Time(MW) Err+ Err- -1_sigma_Infall_Delay_Time(MW) Err+ Err- Median_Infall_Delay_Time(GR) Err+ Err- +1_sigma_Infall_Delay_Time(GR) Err+ Err- -1_sigma_Infall_Delay_Time(GR) Err+ Err- Median_Infall_Delay_Time(CL) Err+ Err- +1_sigma_Infall_Delay_Time(CL) Err+ Err- -1_sigma_Infall_Delay_Time(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 2.13552 0.182413 0.162673 3.82321 0.0997136 0.100482 0.700739 0.0591923 0.0488801 2.43963 0.250758 0.152419 4.11877 0.105195 0.0751781 0.742785 0.0648525 0.0456235 2.6292 0.0744548 0.0803661 4.2058 0.0453963 0.0709357 0.826232 0.0173908 0.018954 7.2 7.4 600932 20244 17265 10627
7.5 2.21033 0.168704 0.141167 3.8746 0.105741 0.0867863 0.73991 0.0652664 0.0570005 2.69381 0.136621 0.147289 4.23936 0.0893416 0.0789418 0.789394 0.0483039 0.0347178 2.76685 0.0711305 0.0808063 4.3166 0.0525341 0.053185 0.8687 0.0366682 0.0348884 7.4 7.6 495465 18592 15347 9535
7.7 2.26724 0.265867 0.139122 4.0298 0.488754 0.223193 0.770772 0.0873122 0.0502236 2.76482 0.226512 0.1494 4.4001 0.211942 0.170609 0.816075 0.0648107 0.0459883 2.95125 0.0996063 0.106624 4.49107 0.118013 0.106153 0.91984 0.0353919 0.0306596 7.6 7.8 408840 16445 13386 8501
7.9 2.5726 0.57396 0.301123 4.96624 0.836775 0.667412 0.868454 0.219602 0.107275 3.09531 0.350462 0.24168 4.99872 0.840263 0.410585 0.920226 0.184008 0.0919368 3.27782 0.142072 0.152679 5.04794 0.247696 0.264565 1.05806 0.0562003 0.054655 7.8 8 340337 15718 12377 7944
8.1 2.8932 0.619851 0.321234 5.66851 0.349325 0.373306 0.979218 0.241043 0.116616 3.37669 0.368687 0.215906 5.97543 0.431801 0.559082 1.06605 0.154701 0.0997192 3.57461 0.1546 0.135972 5.76326 0.311616 0.279985 1.22208 0.0734918 0.0538675 8 8.2 289952 15790 12022 7841
8.3 3.04313 0.560369 0.340244 5.71631 0.215535 0.234628 1.05941 0.232952 0.142524 3.47423 0.279728 0.211698 6.20953 0.248168 0.278426 1.1117 0.138056 0.089965 3.74271 0.106426 0.0911877 6.03123 0.228188 0.239778 1.31207 0.0660694 0.0571636 8.2 8.4 241677 15270 11068 6939
8.5 2.99376 0.458077 0.290607 5.57385 0.203567 0.244395 1.0433 0.178451 0.106678 3.46973 0.277237 0.196127 6.15386 0.226692 0.304743 1.14759 0.155916 0.102952 3.78968 0.0905693 0.085613 6.04802 0.132741 0.177266 1.36496 0.0615436 0.0542881 8.4 8.6 196126 13476 9530 5926
8.7 2.884 0.459663 0.274939 5.41931 0.245555 0.231172 0.987901 0.179404 0.105233 3.38562 0.254891 0.158648 6.0677 0.235719 0.27809 1.11338 0.12185 0.0753409 3.72697 0.0863206 0.0828316 5.99881 0.165765 0.14704 1.27691 0.0315344 0.0612409 8.6 8.8 156779 11816 8052 5174
8.9 2.75624 0.418826 0.258643 5.17876 0.247272 0.226668 0.964199 0.165936 0.111142 3.33009 0.251955 0.163621 6.0177 0.233627 0.28146 1.11405 0.122136 0.0850481 3.793 0.0763323 0.100501 5.97801 0.164871 0.154644 1.34328 0.0698783 0.082474 8.8 9 126039 10041 6847 4151
9.1 2.6992 0.424299 0.265579 5.03004 0.244756 0.219516 0.91631 0.171986 0.111188 3.32334 0.264448 0.18127 5.97477 0.228863 0.252316 1.11251 0.133003 0.0837936 3.71262 0.0755665 0.0575602 5.92708 0.108373 0.107721 1.27741 0.0453845 0.0436382 9 9.2 101289 8485 5701 3495
9.3 2.65773 0.338387 0.269495 4.90491 0.255023 0.241769 0.876421 0.133914 0.0999925 3.17087 0.286995 0.135777 5.85018 0.240867 0.218695 1.06345 0.134812 0.0770096 3.75339 0.0864692 0.101211 5.90897 0.179554 0.105365 1.34928 0.0517573 0.0524161 9.2 9.4 83072 6807 4887 2964
9.5 2.61133 0.323097 0.262462 4.73254 0.299969 0.227899 0.838357 0.144068 0.0910625 3.1226 0.292382 0.176063 5.82235 0.176057 0.214041 1.12803 0.141797 0.083233 3.61519 0.0995224 0.0836313 5.71054 0.179889 0.148771 1.30659 0.0528219 0.0588185 9.4 9.6 70602 5401 4175 2690
9.7 2.49664 0.333519 0.224839 4.67058 0.272048 0.221163 0.795227 0.103657 0.0873786 3.05141 0.262054 0.199387 5.5858 0.265151 0.236851 1.05395 0.0984582 0.0808339 3.68099 0.102962 0.112802 5.90132 0.174534 0.131926 1.23409 0.0795172 0.0478647 9.6 9.8 61233 3957 3881 2428
