#Observed stellar masses in Msun
#Infall delay times in Gyr.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.713748.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#SM Median_Infall_Delay_Time(MW) Err+ Err- +1_sigma_Infall_Delay_Time(MW) Err+ Err- -1_sigma_Infall_Delay_Time(MW) Err+ Err- Median_Infall_Delay_Time(GR) Err+ Err- +1_sigma_Infall_Delay_Time(GR) Err+ Err- -1_sigma_Infall_Delay_Time(GR) Err+ Err- Median_Infall_Delay_Time(CL) Err+ Err- +1_sigma_Infall_Delay_Time(CL) Err+ Err- -1_sigma_Infall_Delay_Time(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 2.70424 0.176836 0.195504 4.70151 0.0990167 0.0893078 0.822853 0.0748445 0.053975 3.19098 0.20114 0.206537 5.0686 0.10415 0.0908561 0.903036 0.0561497 0.0449746 3.28951 0.126128 0.094995 5.09459 0.081563 0.0934286 1.00451 0.0527437 0.0416843 7.2 7.4 621499 19144 17561 13984
7.5 2.76068 0.152692 0.1496 4.71191 0.100097 0.0828671 0.870569 0.0796275 0.0615487 3.33237 0.169198 0.133443 5.14935 0.0848055 0.0719371 0.941245 0.053152 0.0430536 3.5146 0.049978 0.0594139 5.26803 0.0483489 0.0555086 1.07896 0.0152746 0.0213326 7.4 7.6 523714 17547 15856 12665
7.7 2.74998 0.175374 0.126029 4.69066 0.214523 0.10538 0.89066 0.076085 0.0449874 3.47234 0.164184 0.151702 5.233 0.123231 0.0970216 0.976201 0.0705928 0.0504741 3.56871 0.0565274 0.0497072 5.39417 0.0627561 0.0654073 1.09484 0.0273083 0.0256349 7.6 7.8 436158 16035 14173 11238
7.9 2.88016 0.406268 0.214951 5.11666 0.881908 0.418875 0.956311 0.169347 0.0931336 3.65754 0.295468 0.188123 5.57226 0.391437 0.274969 1.03694 0.112617 0.0692098 3.82902 0.124129 0.122183 5.65472 0.160956 0.143739 1.20581 0.0459462 0.0393536 7.8 8 361037 14526 12644 10096
8.1 3.24597 0.710576 0.3686 6.24208 0.733435 0.733029 1.08955 0.286837 0.120678 3.97333 0.426728 0.255473 6.46148 0.868286 0.600627 1.19013 0.204652 0.0952088 4.24882 0.154644 0.140394 6.3188 0.30989 0.288749 1.38549 0.068845 0.0731305 8 8.2 303191 13885 11907 9551
8.3 3.59493 0.65721 0.393502 6.69649 0.359086 0.403656 1.25653 0.287592 0.170521 4.24469 0.361963 0.262826 7.20355 0.403562 0.605068 1.35663 0.20254 0.129804 4.48716 0.133578 0.103229 6.82188 0.324217 0.236848 1.49875 0.0828798 0.0603201 8.2 8.4 254946 13902 11102 9033
8.5 3.57177 0.60563 0.313346 6.60564 0.292085 0.267838 1.26071 0.246586 0.125863 4.23702 0.31814 0.212799 7.20981 0.351807 0.385193 1.39678 0.156992 0.0947757 4.50792 0.122436 0.0915227 6.87667 0.255244 0.18066 1.55998 0.0688437 0.0706644 8.4 8.6 211222 12915 10135 7933
8.7 3.44909 0.560827 0.318224 6.43199 0.25564 0.309728 1.19754 0.249819 0.11974 4.20435 0.293025 0.194853 7.16626 0.353907 0.381082 1.35485 0.166008 0.0904505 4.55412 0.120653 0.103983 6.80745 0.252825 0.159724 1.59618 0.047097 0.0497757 8.6 8.8 168993 11308 8586 6847
8.9 3.36089 0.544893 0.333105 6.16379 0.330705 0.268932 1.18479 0.213442 0.141628 4.16371 0.262364 0.219451 7.06294 0.313381 0.428503 1.35322 0.145678 0.0999832 4.58397 0.0744658 0.0602899 6.88655 0.197865 0.13288 1.63355 0.0552182 0.0585105 8.8 9 135830 9576 7265 5615
9.1 3.24369 0.527957 0.321603 5.90374 0.367488 0.262128 1.13325 0.212078 0.122653 4.04867 0.298921 0.177033 7.04763 0.285393 0.309871 1.37684 0.106591 0.0748243 4.55314 0.0803103 0.08359 6.80221 0.194318 0.142262 1.57831 0.0710561 0.0481151 9 9.2 110243 8315 6102 4808
9.3 3.20677 0.482388 0.345748 5.86192 0.318729 0.237555 1.12239 0.197016 0.130061 4.00046 0.265051 0.218788 6.96314 0.315619 0.287259 1.3274 0.186816 0.0964624 4.54454 0.126416 0.104082 6.81754 0.214527 0.161995 1.66271 0.0571129 0.0700284 9.2 9.4 91419 6795 5212 4114
9.5 3.13054 0.430703 0.306945 5.63804 0.333098 0.249506 1.04421 0.14404 0.108072 3.88232 0.282543 0.224635 6.89179 0.227908 0.300669 1.35138 0.131495 0.0912271 4.55992 0.0926929 0.0815954 6.74305 0.13991 0.126641 1.5591 0.07816 0.0588114 9.4 9.6 77237 5284 4592 3595
9.7 2.97704 0.422101 0.320068 5.48427 0.288701 0.276161 0.898672 0.159244 0.102954 3.68113 0.317116 0.21593 6.69274 0.267419 0.379089 1.2657 0.140169 0.0960748 4.4287 0.0853596 0.0944815 6.73638 0.138284 0.171994 1.58061 0.0601976 0.0444779 9.6 9.8 67434 4071 4185 3231
9.9 2.88253 0.353689 0.275561 5.42318 0.296734 0.289493 0.854069 0.190472 0.10352 3.53311 0.334177 0.246404 6.37481 0.261705 0.251194 1.25085 0.151005 0.110369 4.42489 0.117143 0.0930748 6.65442 0.170901 0.142242 1.67823 0.0864986 0.0571553 9.8 10 60532 2888 3772 2989
10.1 3.0624 0.305702 0.301605 5.51131 0.292881 0.226768 1.00278 0.167794 0.145277 3.34698 0.260009 0.245211 5.97217 0.340695 0.274498 1.18119 0.121946 0.0895779 4.34344 0.0999308 0.107255 6.57084 0.134442 0.139544 1.62469 0.0527649 0.0723994 10 10.2 55563 1737 3798 2688
10.3 3.03629 0.380085 0.289512 5.6035 0.279933 0.229596 0.807375 0.142786 0.10807 3.05047 0.23999 0.17895 5.67784 0.253656 0.22864 1.06907 0.094558 0.07597 4.13494 0.0762415 0.101888 6.46451 0.107416 0.149545 1.4965 0.0622609 0.0640955 10.2 10.4 50615 820 3774 2683
10.5 3.67075 0.376278 0.403664 5.8962 0.225343 0.163376 1.03307 0.521173 0.292619 2.7871 0.238482 0.182371 5.29634 0.304824 0.234964 0.956683 0.104457 0.0835004 3.83265 0.108923 0.104722 6.218 0.121999 0.134439 1.36013 0.0637376 0.0508955 10.4 10.6 44494 310 3411 2354
10.7 4.2387 0.260323 0.343767 6.5021 0.0369067 0.0961933 2.15879 0.298425 0.205295 2.54754 0.160424 0.183763 4.93093 0.206584 0.249824 0.917335 0.0592093 0.064734 3.53087 0.111257 0.106038 5.8877 0.127165 0.129312 1.28844 0.0465411 0.0516698 10.6 10.8 35406 123 2698 1977
10.9 4.61834 0.315306 0.520757 6.30905 0.186294 0.313891 2.40497 0.903446 0.0746729 2.35974 0.17103 0.114676 4.7369 0.198321 0.160398 0.824247 0.0592162 0.048162 3.01325 0.0769525 0.0688386 5.46726 0.0865326 0.0616231 1.04981 0.0252768 0.0227437 10.8 11 23055 35 1482 1414
11.1 4.12451 0.454114 0.0269313 5.92723 0.0386043 0.638856 3.5775 0.0688789 0.315699 2.14649 0.12852 0.0791106 4.59144 0.186855 0.136564 0.684772 0.0599018 0.065219 2.623 0.149057 0.100578 5.03354 0.113763 0.110609 0.861654 0.054653 0.0572509 11 11.2 11748 5 547 798
11.3 9.14241 0 0 9.14241 0 0 9.14241 0 0 2.36874 0.239251 0.166664 4.90439 0.583507 0.249085 0.404181 0.0826501 0.0523691 2.08892 0.138167 0.116183 4.59617 0.275811 0.347424 0.566425 0.0779527 0.0491444 11.2 11.4 4370 0 83 289
11.5 9.14241 0 0 9.14241 0 0 9.14241 0 0 2.57681 0.991634 0.499799 6.42192 1.61707 0.0450053 1.45856 0.544258 0.516941 1.78502 0.0834351 0.146009 3.57276 0.438442 0.358943 0.606209 0.0353065 0.0664319 11.4 11.6 1295 0 7 55
11.7 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 1.45134 0.041693 0.0555841 2.86945 0.291605 0.0328879 1.0724 0.245863 0.100407 11.6 11.8 320 0 0 7
11.9 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 7.77444 9.14241 0 7.74598 9.14241 0 7.8029 11.8 12 56 0 0 1
12.1 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 12 12.2 6 0 0 0
12.3 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 12.2 12.4 0 0 0 0
12.5 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 12.4 12.6 0 0 0 0
12.7 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 12.6 12.8 0 0 0 0
12.9 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 12.8 13 0 0 0 0
13.1 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 9.14241 0 0 13 13.2 0 0 0 0
