#Observed stellar masses in Msun
#Quenching delay times in Gyr.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.536560.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of quenched(all)/quenched after infall(sats) galaxies in the bin for the bestfit model.
#SM Median_Quenching_Delay_Time(MW) Err+ Err- +1_sigma_Quenching_Delay_Time(MW) Err+ Err- -1_sigma_Quenching_Delay_Time(MW) Err+ Err- Median_Quenching_Delay_Time(GR) Err+ Err- +1_sigma_Quenching_Delay_Time(GR) Err+ Err- -1_sigma_Quenching_Delay_Time(GR) Err+ Err- Median_Quenching_Delay_Time(CL) Err+ Err- +1_sigma_Quenching_Delay_Time(CL) Err+ Err- -1_sigma_Quenching_Delay_Time(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 1.82917 0.243247 0.336859 3.04077 0.47916 0.404407 0.986801 0.137582 0.347373 1.95833 0.206667 0.433333 2.91406 0.256271 0.196479 0.783255 0.189106 0.217835 2.07917 0.183333 0.279167 3.23401 0.215502 0.197668 0.912745 0.20822 0.337501 7.2 7.4 908 276 215 130
7.5 2.17 0.531923 0.450357 3.74101 0.382394 0.785257 1.0779 0.267338 0.331259 2.18929 0.373214 0.38373 3.61609 0.600887 0.688295 1.08491 0.179517 0.301364 2.325 0.225 0.371875 3.58238 0.485764 0.373488 1.17209 0.187775 0.432662 7.4 7.6 1284 437 312 206
7.7 2.6381 0.447619 0.627611 4.14951 0.231209 0.486184 1.26981 0.24728 0.324258 2.56364 0.436364 0.520779 4.27956 0.276345 0.739117 1.20974 0.271695 0.275115 2.625 0.35 0.4 4.19542 0.337978 0.414242 1.3083 0.218876 0.288163 7.6 7.8 1850 804 579 338
7.9 2.64697 0.436364 0.51497 4.17166 0.221343 0.315768 1.14638 0.248468 0.246747 2.73654 0.408462 0.49306 4.41145 0.235819 0.489688 1.31897 0.277436 0.363304 2.825 0.23125 0.338235 4.36477 0.243834 0.341873 1.38823 0.27588 0.260168 7.8 8 2589 1202 816 521
8.1 2.54 0.340769 0.451364 4.08371 0.172797 0.259782 1.13132 0.261951 0.241376 2.75577 0.353397 0.466063 4.37826 0.227573 0.308716 1.22288 0.287948 0.303759 2.80333 0.206042 0.384583 4.38523 0.247452 0.343424 1.29132 0.185122 0.228143 8 8.2 3573 1594 1040 681
8.3 2.35565 0.346278 0.375645 3.9169 0.149943 0.292474 0.998332 0.228267 0.187216 2.54318 0.32289 0.351836 4.28886 0.230884 0.351753 1.1352 0.27963 0.284854 2.74219 0.171701 0.406771 4.29377 0.171607 0.347172 1.2966 0.160635 0.218628 8.2 8.4 4228 1949 1310 826
8.5 2.1481 0.322736 0.372316 3.72313 0.203557 0.287435 0.94478 0.164481 0.19759 2.39412 0.345168 0.359594 4.16862 0.234774 0.411584 1.08794 0.188285 0.242662 2.6375 0.201786 0.329167 4.24926 0.182622 0.345717 1.2103 0.172158 0.225215 8.4 8.6 4980 2249 1439 811
8.7 1.97356 0.323237 0.347843 3.53291 0.206506 0.318766 0.847173 0.154694 0.18693 2.25455 0.308916 0.396212 3.99809 0.26288 0.418781 0.968972 0.14904 0.171177 2.44808 0.151923 0.362783 3.94862 0.243115 0.329878 1.06866 0.185432 0.21784 8.6 8.8 5564 2417 1588 895
8.9 1.78793 0.271024 0.296959 3.26977 0.214657 0.292424 0.779727 0.109079 0.155972 2.08362 0.312473 0.377371 3.79657 0.248932 0.466324 0.882156 0.159962 0.18699 2.25 0.221154 0.305 3.86219 0.183955 0.393139 1.0131 0.138691 0.15862 8.8 9 6141 2479 1749 947
9.1 1.6175 0.259722 0.290833 3.13176 0.224532 0.368229 0.72528 0.116847 0.145146 1.9787 0.268518 0.343098 3.65556 0.231109 0.376432 0.819839 0.133887 0.182628 2.07045 0.257045 0.28608 3.77696 0.24649 0.499959 0.936866 0.155556 0.188183 9 9.2 6593 2345 1726 867
9.3 1.51327 0.230485 0.239765 2.99371 0.220434 0.301023 0.661061 0.10248 0.141637 1.70781 0.257928 0.261845 3.37486 0.223287 0.406044 0.686501 0.122723 0.141755 1.93056 0.215873 0.325 3.52029 0.308173 0.389824 0.800633 0.104445 0.181974 9.2 9.4 6831 2049 1591 850
9.5 1.44489 0.155771 0.204643 2.81467 0.172884 0.27234 0.649838 0.076746 0.160295 1.48889 0.243464 0.272585 3.15738 0.240427 0.444864 0.584026 0.11501 0.16952 1.875 0.171428 0.323214 3.31586 0.181474 0.306658 0.727685 0.0928168 0.159249 9.4 9.6 7434 1694 1641 820
9.7 1.3 0.183036 0.154651 2.69719 0.160666 0.275391 0.572216 0.0988879 0.153722 1.36649 0.17745 0.239146 2.9237 0.262136 0.410111 0.486971 0.112292 0.115633 1.625 0.210417 0.291667 3.0937 0.241476 0.368447 0.654707 0.0891371 0.127563 9.6 9.8 7874 1261 1592 865
9.9 1.31579 0.151256 0.182835 2.61846 0.208142 0.259883 0.602138 0.09326 0.151944 1.17386 0.129515 0.165341 2.61842 0.244904 0.340668 0.388996 0.0736473 0.0816253 1.31964 0.166071 0.257143 2.7023 0.274791 0.359965 0.462095 0.06667 0.121413 9.8 10 8762 882 1667 817
10.1 1.27885 0.151709 0.178846 2.46642 0.185593 0.230124 0.513225 0.109765 0.118178 0.987019 0.0847893 0.102697 2.27005 0.191441 0.277978 0.262805 0.061744 0.038591 1.127 0.183 0.197833 2.47643 0.26882 0.390532 0.342226 0.080219 0.103016 10 10.2 10382 542 1669 827
10.3 1.22083 0.150595 0.152083 2.49733 0.37946 0.202144 0.502246 0.0733584 0.113478 0.845588 0.0770308 0.0937364 1.96863 0.213332 0.223112 0.207365 0.0220324 0.0209139 1.05938 0.168006 0.165625 2.4435 0.282921 0.282824 0.291696 0.0501401 0.0625617 10.2 10.4 12088 296 1653 763
10.5 1.175 0.0958333 0.125 2.50336 0.123557 0.180817 0.306095 0.0697533 0.0874017 0.785714 0.0482143 0.0654244 1.84586 0.157125 0.231316 0.205201 0.0139076 0.0195801 0.894565 0.112578 0.0957016 2.13064 0.187424 0.249271 0.222515 0.0208486 0.0295545 10.4 10.6 13449 179 1572 695
