#Observed stellar masses in Msun
#Quenching delay times in Gyr.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.384685.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of quenched(all)/quenched after infall(sats) galaxies in the bin for the bestfit model.
#SM Median_Quenching_Delay_Time(MW) Err+ Err- +1_sigma_Quenching_Delay_Time(MW) Err+ Err- -1_sigma_Quenching_Delay_Time(MW) Err+ Err- Median_Quenching_Delay_Time(GR) Err+ Err- +1_sigma_Quenching_Delay_Time(GR) Err+ Err- -1_sigma_Quenching_Delay_Time(GR) Err+ Err- Median_Quenching_Delay_Time(CL) Err+ Err- +1_sigma_Quenching_Delay_Time(CL) Err+ Err- -1_sigma_Quenching_Delay_Time(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 1.0875 0.3375 0.340625 1.98094 0.390963 0.579027 0.355057 0.3552 0.148491 0.95 0.3875 0.209375 1.76562 0.612983 0.572597 0.415148 0.299037 0.191499 1.35 0.1875 0.85 1.76827 0.557933 0.641728 0.215866 0.323798 0.111229 7.2 7.4 292 98 33 5
7.5 1.33 0.289118 0.496667 2.36682 0.18726 0.793109 0.541949 0.26339 0.312307 1.225 0.425 0.45 2.19411 0.364782 0.859134 0.514553 0.230703 0.387629 1.525 0.45 0.971323 2.18413 0.154807 1.14403 0.623798 0.584134 0.5 7.4 7.6 318 152 68 17
7.7 1.46875 0.23125 0.49375 2.50067 0.137132 0.544927 0.69912 0.157532 0.353205 1.55833 0.201667 0.633333 2.67747 0.174211 1.11713 0.726775 0.151992 0.420523 1.575 0.35 1.075 2.23413 0.593026 1.19207 0.884857 0.342067 0.767659 7.6 7.8 419 259 113 22
7.9 1.4619 0.175595 0.382493 2.39582 0.119297 0.310724 0.670436 0.115185 0.222544 1.6 0.141667 0.3875 2.67861 0.132017 0.487983 0.799921 0.168455 0.339129 1.56667 0.333333 0.716667 2.39134 0.613462 0.999278 0.756252 0.1 0.524521 7.8 8 705 385 205 34
8.1 1.41364 0.217614 0.260511 2.34415 0.098521 0.210779 0.664966 0.0938135 0.148378 1.6 0.2 0.305 2.6179 0.119117 0.424152 0.81605 0.126504 0.250423 1.68333 0.366667 0.525 2.72884 0.204571 0.658331 0.956613 0.297555 0.732815 8 8.2 947 576 240 44
8.3 1.325 0.175 0.260714 2.25667 0.108054 0.196967 0.631771 0.0810774 0.162077 1.5125 0.126136 0.2875 2.59968 0.129393 0.328053 0.745771 0.148221 0.161208 1.6125 0.395833 0.2625 2.75529 0.138462 0.387024 0.748319 0.217546 0.242908 8.2 8.4 1314 793 388 75
8.5 1.27628 0.152564 0.230449 2.19216 0.0990195 0.218257 0.596766 0.101074 0.12968 1.465 0.171111 0.333055 2.61346 0.115824 0.32716 0.668513 0.0597822 0.151828 1.475 0.15 0.266667 2.38582 0.248319 0.25289 0.721636 0.145793 0.326081 8.4 8.6 1717 1041 452 70
8.7 1.225 0.151515 0.210484 2.13689 0.104019 0.170378 0.577657 0.092909 0.14602 1.475 0.15 0.29 2.49978 0.135067 0.254906 0.666995 0.0846303 0.173551 1.475 0.616667 0.233333 2.70889 0.115747 0.465564 0.751806 0.111336 0.213101 8.6 8.8 2229 1244 578 95
8.9 1.17589 0.133801 0.202455 2.07872 0.122795 0.232945 0.531824 0.0728396 0.142898 1.44583 0.163542 0.271615 2.47471 0.191748 0.262193 0.580827 0.0894916 0.139652 1.45 0.475 0.225 2.49393 0.26845 0.362323 0.678848 0.228966 0.165289 8.8 9 2663 1311 727 116
9.1 1.08043 0.142065 0.189994 2.01433 0.139358 0.223545 0.516127 0.0594999 0.12714 1.31094 0.182812 0.288021 2.36293 0.163469 0.318202 0.563641 0.132756 0.180747 1.4 0.175 0.1875 2.47872 0.167669 0.358454 0.616352 0.234611 0.189187 9 9.2 3210 1177 762 120
