#Observed stellar masses in Msun
#Infall delay times in Gyr.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.420122.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#SM Median_Infall_Delay_Time(MW) Err+ Err- +1_sigma_Infall_Delay_Time(MW) Err+ Err- -1_sigma_Infall_Delay_Time(MW) Err+ Err- Median_Infall_Delay_Time(GR) Err+ Err- +1_sigma_Infall_Delay_Time(GR) Err+ Err- -1_sigma_Infall_Delay_Time(GR) Err+ Err- Median_Infall_Delay_Time(CL) Err+ Err- +1_sigma_Infall_Delay_Time(CL) Err+ Err- -1_sigma_Infall_Delay_Time(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 1.0542 0.156013 0.110842 1.98004 0.211424 0.161756 0.367013 0.0520941 0.0375773 1.09997 0.122485 0.0996456 2.0396 0.117505 0.108803 0.37797 0.0318066 0.0245517 1.18341 0.0699055 0.0495031 2.07975 0.0797722 0.0808468 0.426942 0.0194154 0.0165002 7.2 7.4 581172 24386 13112 2213
7.5 1.26413 0.238704 0.169498 2.53442 0.367425 0.401364 0.424065 0.0957748 0.0495298 1.32514 0.183384 0.160001 2.3685 0.360765 0.223698 0.434357 0.0516943 0.0378887 1.42043 0.0974375 0.12763 2.43129 0.185872 0.187832 0.49606 0.0347219 0.0315574 7.4 7.6 476698 24423 12252 2193
7.7 1.48929 0.292411 0.18712 2.97919 0.186331 0.244447 0.511673 0.123496 0.07327 1.56094 0.185777 0.161117 3.0826 0.241594 0.451952 0.497613 0.0772019 0.0470396 1.72126 0.0898813 0.14126 3.0608 0.188257 0.299055 0.593607 0.0430639 0.0559962 7.6 7.8 394247 24431 12046 2160
7.9 1.65159 0.2783 0.183434 3.09971 0.120162 0.0954075 0.567292 0.127716 0.0701674 1.70327 0.196801 0.125213 3.34573 0.116595 0.128839 0.578377 0.0907714 0.0630221 1.86748 0.070389 0.0680599 3.40415 0.0772698 0.0809083 0.693532 0.0484385 0.0382729 7.8 8 322368 23622 11424 2112
8.1 1.64514 0.243858 0.152394 3.07336 0.100506 0.089963 0.567814 0.100127 0.0654832 1.77575 0.173883 0.127349 3.39128 0.0835872 0.0811343 0.608761 0.079626 0.0512205 1.90694 0.0611274 0.058296 3.40423 0.0567408 0.0541146 0.699917 0.031235 0.0335595 8 8.2 258734 21121 10070 1818
8.3 1.59622 0.221785 0.14588 3.00272 0.0855715 0.0867283 0.548583 0.0996226 0.0570904 1.78543 0.163522 0.124605 3.38653 0.0720556 0.0713484 0.619596 0.0897936 0.0489648 1.89071 0.0575851 0.0505834 3.42006 0.0584707 0.0458925 0.717292 0.030495 0.0289512 8.2 8.4 204484 18428 8664 1544
8.5 1.51843 0.189553 0.132796 2.87977 0.0964513 0.0785553 0.521213 0.0843757 0.0527675 1.7156 0.140149 0.103882 3.32971 0.0725682 0.0723562 0.62441 0.0554183 0.0447181 1.92175 0.0651538 0.0671668 3.4275 0.0743086 0.0537207 0.702385 0.0254405 0.0304218 8.4 8.6 161675 15732 7097 1391
8.7 1.46288 0.179339 0.138026 2.81189 0.0943341 0.105099 0.499125 0.0704755 0.0541547 1.68268 0.146299 0.103098 3.27864 0.0756099 0.0709608 0.601421 0.0670184 0.043679 1.95642 0.0575521 0.0464385 3.43518 0.0335851 0.036243 0.700888 0.0377032 0.0208766 8.6 8.8 127587 13557 6050 1104
8.9 1.38879 0.158267 0.107228 2.6744 0.107381 0.0968928 0.472031 0.0543583 0.0429789 1.66396 0.130308 0.0880835 3.23512 0.0563841 0.0606644 0.597319 0.0559858 0.0452964 1.86819 0.0495796 0.0562892 3.36327 0.0343826 0.0375037 0.629575 0.0252629 0.0270541 8.8 9 100418 10806 5164 923
9.1 1.34266 0.144557 0.112785 2.59914 0.101666 0.102374 0.431801 0.0566216 0.0398493 1.63527 0.12413 0.0807356 3.19735 0.0640044 0.0716176 0.596702 0.0582635 0.0487025 1.89321 0.0531026 0.0479957 3.27245 0.0489624 0.0757239 0.68945 0.032734 0.0309653 9 9.2 78429 8249 4283 776
9.3 1.28376 0.144577 0.111697 2.54437 0.101496 0.0977254 0.411546 0.0562095 0.0463217 1.59125 0.140336 0.073182 3.11851 0.068408 0.071574 0.562682 0.057019 0.0378975 1.97881 0.0608805 0.0747247 3.35042 0.0528491 0.11092 0.710685 0.0361318 0.0367581 9.2 9.4 60771 5807 3627 603
