#Observed stellar masses in Msun
#Infall delay times in Gyr.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.622623.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#SM Median_Infall_Delay_Time(MW) Err+ Err- +1_sigma_Infall_Delay_Time(MW) Err+ Err- -1_sigma_Infall_Delay_Time(MW) Err+ Err- Median_Infall_Delay_Time(GR) Err+ Err- +1_sigma_Infall_Delay_Time(GR) Err+ Err- -1_sigma_Infall_Delay_Time(GR) Err+ Err- Median_Infall_Delay_Time(CL) Err+ Err- +1_sigma_Infall_Delay_Time(CL) Err+ Err- -1_sigma_Infall_Delay_Time(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 2.07806 0.181323 0.161703 3.71686 0.0975208 0.0880384 0.672853 0.0528678 0.0408056 2.37591 0.193823 0.147876 4.01208 0.106247 0.0700712 0.718508 0.0367018 0.0274242 2.5509 0.0585282 0.0870483 4.0902 0.0607281 0.0747447 0.804884 0.0179941 0.0160071 7.2 7.4 600091 20643 17223 10447
7.5 2.14495 0.145312 0.128489 3.75837 0.121064 0.0868263 0.707852 0.0703879 0.0469021 2.57012 0.148778 0.145718 4.11477 0.0875034 0.0814252 0.741792 0.0525509 0.0399479 2.68151 0.0889983 0.0917718 4.21682 0.0509086 0.0594335 0.850747 0.0252138 0.0299525 7.4 7.6 492479 18693 15134 9489
7.7 2.21586 0.308676 0.168195 3.96195 0.570489 0.252988 0.755522 0.115082 0.0626605 2.70572 0.257916 0.167209 4.31463 0.242758 0.182818 0.812344 0.0876111 0.0515079 2.85294 0.0816 0.0837512 4.39881 0.114161 0.100741 0.870614 0.0286149 0.0261628 7.6 7.8 405268 16676 13415 8184
7.9 2.52638 0.548691 0.295454 4.96844 0.731814 0.68739 0.866484 0.197583 0.104642 3.03472 0.347491 0.214819 4.92655 0.893958 0.446062 0.918404 0.150264 0.0760841 3.20535 0.147821 0.170554 4.96137 0.283452 0.283061 1.03967 0.0836462 0.0775884 7.8 8 339293 15895 12378 7809
8.1 2.88206 0.632163 0.355265 5.56238 0.33577 0.369013 0.970457 0.258606 0.12422 3.30824 0.342976 0.225062 5.90593 0.391323 0.502776 1.04267 0.14244 0.0927005 3.52704 0.144523 0.122242 5.7294 0.289774 0.336206 1.20517 0.0629829 0.0574908 8 8.2 287352 16249 11844 7584
8.3 2.98655 0.505883 0.30628 5.60494 0.173923 0.265009 1.01443 0.230254 0.103794 3.37994 0.28854 0.199327 6.07946 0.227245 0.238494 1.08045 0.173192 0.105329 3.64058 0.10967 0.0915396 5.92146 0.17108 0.181878 1.30573 0.0564861 0.0563362 8.2 8.4 240097 15412 10975 6974
8.5 2.90965 0.455245 0.277026 5.45695 0.201477 0.214284 1.00436 0.194839 0.102288 3.34518 0.274164 0.203631 6.02107 0.209699 0.270437 1.11294 0.137837 0.0836891 3.63727 0.0917687 0.0828657 5.84387 0.179072 0.161044 1.27577 0.0566294 0.0460942 8.4 8.6 194131 13815 9544 5826
8.7 2.78274 0.469195 0.269566 5.27604 0.231189 0.2581 0.966924 0.175347 0.0966957 3.30576 0.263004 0.17565 5.93898 0.231699 0.237665 1.09338 0.122907 0.0982904 3.63872 0.0987709 0.0891666 5.88414 0.152762 0.165775 1.30791 0.0458608 0.0466471 8.6 8.8 155278 11738 7944 4952
8.9 2.69162 0.433461 0.241299 5.09171 0.20666 0.223239 0.933615 0.154712 0.100635 3.2762 0.281495 0.18881 5.89743 0.210702 0.268537 1.05834 0.152326 0.0801151 3.65501 0.0709562 0.0829079 5.85871 0.133506 0.122652 1.2487 0.0468823 0.0515933 8.8 9 124482 10115 6681 4134
9.1 2.61067 0.373905 0.246191 4.88776 0.245133 0.183152 0.852341 0.149109 0.0931848 3.22268 0.249516 0.179703 5.81281 0.234926 0.258499 1.13166 0.124049 0.0941645 3.60816 0.0935476 0.0786474 5.86244 0.151598 0.163036 1.30456 0.0451987 0.0389749 9 9.2 99644 8481 5534 3303
